areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
34,1,Hotel Wooyeon Flora,"Boryeong-si, 신흑동 2273-1",0419330007,4.5,36.3130419,126.5125888,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFHphM3nIrtbTgEUVUrjlR1QEdSNLAdg3nY_zwBSCH4NFPIi-DOcxnwHGIvvQyR7UU4qKugtsqAR-QHZvHVix-R2ogAP6BXRRkGJn9kvAxCZbNJBpld5dSgRvyp1y7QCL65OW2RoscEKE3VLYHbNsF_MHe3i1YRd8AwowJMLKrKe_NJteucMnWG=w426-h240-k-no
34,2,Cheonan Yosuriguri Hotel,"742-2 Seongjeong-dong, Seobuk-gu, Cheonan-si, Chungcheongnam-do",01032322506,4.8,36.811878,127.1399098,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMM1fnUxrn2-tcrDDOtt5iMxpIv_gjJSWZ0U6rQ=w408-h271-k-no
34,3,Golden Rose Bed and Breakfast,"Chungcheongnam-do, Boryeong-si, Sinheuk-dong, 2302-11",01062439336,3.9,36.3118291,126.5160455,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHzv6UModlMKJJykJk0hpjlgLVez0CM2D2IzK4qI5QL7ZreI9J3qMHwpjN0t1GoLSpwNMf2nO7zBV1JMTT5sxSw3d_4uQ4f8na3W9NXGsbyTYg8CrdPxa5LYUlY0qCFwYYtu6gUaUTgeC1ojJAWSA7_wWhqIzdDxDSGydP_lIx6fljrKOFUZz9eAw=w408-h272-k-no
34,4,Taean Beach Condo Motel,"Chungcheongnam-do, Taean-gun, Geunheung-myeon, Sinjindo-gil, 4 KR",0416750877,3.2,36.6785463,126.1383348,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHSiCRhHftZ9ZP1WoyhMzUNDt64zGCegD7hEeMqtOzhLxnB2u0f3YdL-IEEEKdV41y7lnfZMz5Nfc87ptpwDWDzdXM1qzEiNGOdfre0ADIR7NutfGK6pJYx-bcMXquO_5ugSN7ptpKvV2RDtQYDrMYQOI17o8b0gTgvS28myWqf26yOmnJGLKfW6w=w408-h254-k-no
34,5,Hotel Bom,Boryeong-si,0419316800,3.6,36.3180568,126.5085391,"checkin_time:,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipNN5PpH2fVgcEZLI5ZhkaXrvp0beLE51b0awJbo=w408-h544-k-no
34,6,K.S Hotel,"165-1 Munhwa-dong (13 Yetsicheong-gil), Cheonan-si, GN",05079591802,3.2,36.8071149,127.1488967,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
34,7,Hotel-Wol,"Chungcheongnam-do, Asan-si, Oncheon-dong, 1306번지 KR",0415457073,3.9,36.788757,126.997154,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOfUYqYgObfF_Sq66M2Qx-WMpb2V6X-3niw1N5n=w408-h544-k-no
34,8,Boryeong Blue Beach Pension,"132 Meodeu-ro, Boryeong-si, Chungcheongnam-do",0419315259,5.0,36.316174,126.510785,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFP4tnM85XlJBWRNWOsjbeyUo9pyCure41ku8JsfxC4U6CCxdDR5p0QqDGf01V2MBEcARnD0eRmnijUNuNz_5FpUOeVsBdUg88nOhQvr2OO0be2QzvaCWjprm_3Sf7G_CEBRNMcryrx-RFTqFrOyxDNyYdHZaQ1f4tjlAPqAhj7qZkvMZDUK4E=w408-h254-k-no
34,9,Gaga Guesthouse,"Chungcheongnam-do, Boryeong-si, 신흑동 해수욕장 12길 6-18",01047362448,3.9,36.317902,126.509685,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipN4wz3M_Es3D6cBhitUCtKaJLe5mabeytMF9bvO=w426-h240-k-no
34,10,Ocean sunsets Pensions,"829-5 Gwandang-ri, Ungcheon-eup, Boryeong-si, Chungcheongnam-do",0419364200,4.5,36.2394444,126.5341667,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOf_qjHwxUFJ3RVIB3f6v1IAo9cbgR2KFzrkd-M=w427-h240-k-no
34,11,Merrymud Hotel,"Chungcheongnam-do, Boryeong-si, 해수욕장8길 52",0419333366,4.2,36.3127788,126.5127279,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFtsYfpyG0s-FXm4b2m04jlloygsMWXWSkDt0Nzs7Z0njuWauUUwmWNyh5ubXOdX5JVE0atDi1PUiufGwNaLPROnDzxuaEOV80uwQOP2O-BdziKUxQc4ARZ-MNW4_duxRHJmVFy6f0eP6qlzqb22Us0e4MCwi_zMFQ9Rm1QHVQ54amHWokpdArJ=w408-h272-k-no
34,12,Daecheon Daemyung Pension,"12-8 Gojam 2-gil, Boryeong-si, Chungcheongnam-do",01039493386,3.8,36.3114125,126.5164844,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
34,13,Top Cloud Hotel Cheonan,"3 Seobuyeok 6-gil, Dongnam-gu, Cheonan-si, South Chungcheong",0415785306,4.3,36.808357,127.14068,"checkin_time:3:00 PM,checkout_time:2:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHw3FM3kbwAV01Omn5Y-wk2JTIaJbnXjCHig2eXjPlCUaX7DtppGyIxyHtgmEYIvffVDcGowFu84Nb4RQ1vdwXEFv_S343aeAlGM7fod5gyfdX6hN6kUxqYtNZlFTsz0FoIoZWXcE7w5dK6AfrEwtXVepMMyrQppFlzf5Ewc3aYngma=w408-h615-k-no
34,14,Baeghwawon,"254-21 Woni-ro, Taean-eup, Taean-gun, Chungcheongnam-do",0416728887,3.9,36.7802296,126.281281,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipO9K2X01eR7MuW6rey3pm0pMq5PsQDRZTCZNIqk=w493-h240-k-no
34,15,The Rest Aneuk Hotel Cheonan Station,"7 Yangji 14-gil, Cheonan-si, Chungcheongnam-do",0415755525,3.7,36.809326,127.139929,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFXfp3KF9eaHHnHxQV6YWSQwuoa2cxUc_mSrt-PS4IUr9NImDECl8evNGPNQWI7sXk7KOaKqxDMNYe3Icie4L4XbEA3ik-uE__x63kcpgHOyFg0m-R5KgxskSLKNIrJIXx4_k7U7OMg5BgOrBImE57SHwsWwuv0ALv2vHXjXW0T8bZJu3WcfU9G=w408-h272-k-no
34,16,Sono Belle Cheonan,"200 Jonghaphyuyangji-ro, Seongnam-myeon, Dongnam-gu, Cheonan-si, Chungcheongnam-do",0419018100,4.0,36.7571865,127.2241221,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGuYDgXo4twxlkiHXRB5SQs0ozTkpqo0hY36tLUi9EAD3nst9IIHd97lSw3WcdkXe-fUKDMmwVbEN735G0DexzjCzrOVptVm87AQhkUo1WOCgDDHISpiTsEnDvDGRomuiFndv2Z63apmPTR5ystAPsSEp53exAnmqdI_hzI1syDKCbOzHWpZCwoYw=w408-h272-k-no
34,17,JUST STAY HOTEL,"74, Asan-ro, Asan-si, Chungcheongnam-d, Asan-si, South Chungcheong",0414251203,3.7,36.788887,126.996742,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGudiXerQ-4X3hJRyVrhDVwsZKatnnahyGklV2POit6XSsd17x1srV9vsIZN-DM9esVZtuCxfLkKPwtS_AQb4-gcMXmm-L8TefY45N3tuwpnmjOfBk5Es2vw8KYyFP83BRcSJKxzz1e1qqNRja0K8GSSc6uwZsjofEiOQm-rKYV6Bei3_MFVEgiLQ=w408-h254-k-no
34,18,Byuhotel,"Chungcheongnam-do, Cheonan-si, Seobuk-gu, Budaejungang-gil, 17 KR",0415531791,4.3,36.840222,127.1497005,"checkin_time:,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGtbBh_FdhV28YB1azqoUGlrEkOjYujabCrvvD9efjE_CBlyEuAtsuIdHOpDOrJRLcyXIu4URVOmaQ7YALSpaNawJMoGtPKwZxiwoLn9mFm_lXP-HX4o-_MxxOT4zBYKEXtMit_jGmjEe_ZRecey3mnedGjAy6WOgvK0GdPbRXL40WdQvHmdilJgw=w408-h544-k-no
34,19,Sejong Hotel,"145 Toegye-ro, Jung District, Seoul",027736000,3.9,37.5613363,126.9879273,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGzETQN5_SrFJxl_PisFsFlm6tdqyPfl3_fjwfledZ-P4Mh93-mb9SFeqf5K3VkKSGjb8bRzuTLxKP_cmo81urXVUD2NveFEp0oILE1AsINLKWTDOZ3SZmhM_jWrhg7Npbd9K2rhcnjWDSlWSezEVFIwu8h18ptX9HwXYEKvdYqeQnn4SviFKNl=w408-h272-k-no
34,20,Time Hotel,"14, Seongjeonggongwon 7-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do",0415231181,3.5,36.829,127.14452,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFahTPuqUbkJ0Iat9lqNpCiROkyjEMO8DqC_RW5LRcLpzbpeKf6nt2hKvbit3Hj40Ai0aDQ-euLftXxzrJGzgPgFB-8LtsMQMYCrp6d4tjsv8mLKFCvr0W-2iJKObcV33kmnjehIdhFHV4Ufq8ak2Q42_5SrMvFrjzxIIbVXBXtPSklgoHuJaLNtA=w408-h271-k-no
34,21,No.25 Hotel,"56 Yangji 10-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do",0415712552,4.2,36.8122957,127.1407686,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipNrGazpqTdaaYh8cQ68dPUxt7a-AsXnGCx3EFpR=w533-h240-k-no
34,22,SOLLAGO RESORT,"205 Gieopdosi 9-gil, Taean-eup, Taean-gun, Chungcheongnam-do",050714750501,4.4,36.695548,126.326236,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEkQhHr3bkh7SSy5u7lSvXTI37N3yEoNAvdJYHJHYdbd4ZUpJCUlWZP6qF3yROPf0HmnaAozOnr2b8BG32qyq9W7BLdCNDwzsrdqxY7HwRWgpTphBzfUvSMxSvoNa0ZZnmVOkYE0wn9uwExwqR7RJRb1tjV__zLVm0SOhZsSXGcIk37yBaHzn5J8Q=w408-h306-k-no
