areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
4,1,Sweet Hotel,"60 Gyeongsanggamyeong 1-gil, Jung-gu, Daegu",0532544813,3.6,35.8734648,128.5931088,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOh7uxQKdDOWl940t0DVbULJmSl0qZuQv48iS8-=w408-h306-k-no
4,2,Hotel Inter-Burgo Exco,"80 Yutongdanji-ro, Buk-gu, Daegu",0533800114,3.8,35.9070322,128.61132,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipPfzYj3XGNpnJb9OP-eVR5PTdO2JUmzXGDnzSEj=w408-h272-k-no
4,3,Kyungpook National University Hospital,"130 Dongdeok-ro, Jung-gu, Daegu",0532006114,3.5,35.8664376,128.6044603,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipMtmeoiuiPmuVrDL3NNrn3dI-lSfeU3lWXXAj6p=w408-h313-k-no
4,4,Brown-Dot Hotel,"84 Seongdang-ro, Nam-gu, Daegu",0536515600,4.0,35.8440604,128.5632931,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMLUBAuCOmRN6CrNbJKVQYjM2z7PxLYEfg-EXiK=w408-h306-k-no
4,5,Brown-Dot Hotel,"164 Yuram-ro, Dong-gu, Daegu",01097700278,4.3,35.8887838,128.7058402,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0Yh8S5o9VqA8LRzda5DC7m4IvYynFN8XppxqQHlV-20vrY3Kdxn5kOxDtkWTgWab5DhcmrBYBOXCijy0GcEhqk8Z1ZVIz0EHPXIvK_ATob7RswunYWwICJlIFhWctidGUscOG6VquAF8gbDmWPo6odHjDlnRFex9Q3ndnapM2Pb8qEwGHxizr=w408-h271-k-no
4,6,Hotel February Dongdaegu,"78 Jangdeung-ro, Dong-gu, Daegu",0537422202,4.1,35.8744555,128.624043,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE9KOH2LavLndxOndVxvgEXxHL26IJ6VGaXWlEfOC9Tgh-o40NkNqyh4C4T4m0Bx3DklPnW6JBsV0xBoADVHl8fF86LxEh2hO48Rc1lEYvb5FnMa6a8ZoMKI9Uo7RIKXXglUZC27gB3ucnQIwJ07MEkso2S9nLf3RKSrLV2VL54pqMQpIQzIX8bCA=w408-h272-k-no
4,7,Gallery Hotel,"82 Hyodong-ro 6-gil, Dong-gu, Daegu",0539587444,3.8,35.881788,128.6511616,"checkin_time:,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipOYXqCG63PT8nORtEpXRxxWX46KhP-4Lbjs3qf5=w408-h544-k-no
4,8,Cacaotel,Daegu,0539531163,3.4,35.8808801,128.649912,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFHEUauf9Xq2yelysOa9LJj9s_pdyARusQdkcpKzY_CNH9yGROfUKCGZKNs66ETBSd15UabJs6vZ_kMQIiSwM71Ahz9MARnEXEQ5I5vfYCgqSTzoRMeUNyb_htnRc6xXgUAszs_k5ucddCd_Gf3zEWl4rhg4y4rMzzPFjSctCfqXTJVUETXLr_aQQ=w408-h394-k-no
4,9,Daegu Suseong-gu Design Hotel Gauzin,"276 Suseong-ro, Suseong District, Daegu",0537631116,3.5,35.8500838,128.6135684,"checkin_time:,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPlEwKxX0j4-V82OIoY3sgDrQm8mEOBZlelmZnH=w408-h306-k-no
4,10,Residence R Hotel,"61 Dongbu-ro 26-gil, Dong-gu, Daegu",0537436538,3.5,35.8703852,128.628363,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFPq_nniYeXkqbKy7nHbgiJVdqxiMn39HNRAURKuO_TseoLjuiKoGKYal9MR_H-ShSiiVl0WAibLCfjs5-DSzLbmm-n2d5BAmzZFgepwp_EtvrVJasKW6IeEuNGgJ2EajKKttwlBT7yL4OCgQf24ODFfJo0Z5qfIVmJ5ySuyOwjX6srOgIzsoc=w476-h240-k-no
4,11,The Stay Hotel,"93 Seodaegu-ro, Seo-gu, Daegu",0535662663,3.2,35.866186,128.5553397,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipPjidrk44PLLKkG_HgD4cHL3EujaOOMoXJBo6q-=w408-h544-k-no
4,12,JB Hotel,"Daegu, Dong-gu, 율암로 162",0539642000,4.4,35.8884375,128.7057656,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOU8tKGP96-6EJ9VdavBxjjmrccC96iR9MTKw08=w426-h240-k-no
4,13,Hotel Savoy,"76 Jong-ro, Jung-gu, Daegu",0532538023,2.9,35.8726147,128.5911446,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHXC55q-ELn5Ln_OFTfe_0NDFsIGZYECTfwJDxb9uyyTRx9194nI14JQV8RUOtKqF6k_64ciWMTp6MDHnidSTwqGHULCG-NLA_ma5noNDE-AvFlF1JfRnx9mG_AwqUo6jX2l7UaKzZcxo0_FnzzUHwZgwTjbEg5Kbg1gL14Chdc8VGTAjfbJWG8=w408-h272-k-no
4,14,JB Premium Hotel,"6-14 Seongseogongdan-ro 11-gil, Dalseo District, Daegu",0535856922,4.1,35.8355129,128.4894723,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipM-DN9_2wY9AwpAyl_YBomjmY6teXBARF6mMFe0=w408-h306-k-no
4,15,Daegu Dongdaegu Station Hotel Zi-gume,"17 Dongbu-ro 26-gil, Dong-gu, Daegu",0537533341,3.9,35.8744199,128.6281147,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipN016sqMUfM863K4_34B7aKAKXZBlt8lPrUaQKJ=w408-h544-k-no
