areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
3,1,Belleza Hotel,"63-31번지 Yongjeon-dong, Dong-gu, Daejeon",0426218400,4.6,36.3510698,127.4359982,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPRYhfhIaUNpz4798Ao_6RKHQM9fGP5i4sQ3-Vh=w429-h240-k-no
3,2,Lamia Hotel,"1356 Dunsan-dong, Seo-gu, Daejeon",0423340100,3.3,36.3531479,127.3805858,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFLJlssUc_zPq0dZhhqO-8RmTdci0FNcrm9tlnUA23ZYBHTOVBR2eRUQDkC5IdfSa9QUoKF6WIR1t98Vv9-Z8OHBuclfbWoYecyB7XS3ckc8_M1wxiJd5d4QvGQtGsqVN5Bh8nZw58xyyDUumPljuIlRF9KoN7xebKv9aIhDPeX5YFaJV_JzrHn=w408-h306-k-no
3,3,N7 Hotel,"66-17 Dongseo-daero 1695beon-gil, Dong-gu, Daejeon",0426391472,4.0,36.3526178,127.4373655,"checkin_time:4:00 PM,checkout_time:2:00 PM",https://lh5.googleusercontent.com/p/AF1QipP-xDRV6XvcVFknNDI0HYG-metoCvkWIrdaj9mz=w408-h250-k-no
3,4,The Hyoosik Aneuk Hotel 02,"36 Gyeryong-ro 123beon-gil, Yuseong District, Daejeon",01028529924,3.9,36.3544248,127.3450983,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE1xaIWlibUOojOEAZO_rYVTst0TDp9-Nx0PVh4HVc6UAXrcDuvn6bHXgy9D8BcUZPwseledbBnls6HGaQyMFJLrcO7xFkllCtAPm8ELveESQtAewrBNTxJN4z3ziQLu9i9PLS8ZoCyHbAZhIoo29DnUuvEwSC9gyhi1Wfjc-3sA3GLxFbXhLpSrg=w408-h272-k-no
3,5,Santorini Motel,"5 Daejong-ro 396beon-gil, Jung-gu, Daejeon",0422551775,4.1,36.3206706,127.4309388,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipNVFLRJiVSU7Nd3oM8M_JB9-pAYtosDDJU4oXhh=w426-h240-k-no
3,6,Residence Hotel Line,"Daejeon, Seo-gu, Dunsan-dong, 1351 2층",0424770020,4.0,36.3546339,127.3806099,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFUZQPxZCWobDyxRrmzRqfZSgCuIsdH-rt5GWy6pGqZCoQlkIYkS4Yh3iN5C0MzMiP6__VNwkWWOL8IidWCXvZGe91Kmfy80YVowvt-gcDtb-L7JhQvIV0wG1cd91IqrUHNb0iOUltgzCEj6i0Bp2ydG4WO3Un2vvWLBZVSDwRICsOe4rwqp6Q=w408-h840-k-no
3,7,Continew Hotel,"53-9 Wolpyeong-ro, Seo-gu, Daejeon",050713653333,4.5,36.3566023,127.3627589,"checkin_time:3:00 PM,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF4C1iSMSjT-Wus4RDP83nN5g3LDZB_0y0UZlmW9ijiqIH3QNb3OPxpTPfwJ7hxbUY-JCBA-c1sfZ4Ccvz2p1TpeiA8Lrd5rl8K7Ua-95zkGQO-I-8CxZtb1aainmcMqUkZypZvN6mjCvWe4iRPjrDwSZNUl7BBGruQT8fOqliZj-UnZINOipdd=w408-h254-k-no
3,8,The Hyoosik Aneuk Hotel 02,"36 Gyeryong-ro 123beon-gil, Yuseong District, Daejeon",01028529924,3.9,36.3544248,127.3450983,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE1xaIWlibUOojOEAZO_rYVTst0TDp9-Nx0PVh4HVc6UAXrcDuvn6bHXgy9D8BcUZPwseledbBnls6HGaQyMFJLrcO7xFkllCtAPm8ELveESQtAewrBNTxJN4z3ziQLu9i9PLS8ZoCyHbAZhIoo29DnUuvEwSC9gyhi1Wfjc-3sA3GLxFbXhLpSrg=w408-h272-k-no
3,9,Ramada by Wyndham Daejeon,"127 Gyeryong-ro, Yuseong District, Daejeon",0425401000,4.3,36.3530423,127.3446529,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhENy8petiLQzMlNEJWPwntuzqVKYp0devQ2p5NC1Ke0fSFR12L2BR9OFb8XQpUkCVPZbAJUQypYMuL-tsGf0cTSct5knaXFajub-EK7S-uy1oPSUPqsMET4AbQn1aEVF_LUk3i0g_oxNN79y1OFb-IOunyfjYVIPV7MwF9Wrl1anXjfYjayWER41Q=w408-h288-k-no
3,10,LOTTE City Hotel Daejeon,"33 Expo-ro 123beon-gil, Yuseong District, Daejeon",0423331000,4.3,36.3759913,127.3928884,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-zsQkbhnsyl8PkBART7J1QNiT72kAZfhusKN-FLczBfJDVfDdG8IMVZpJR1-WJDX3A_Umz34sUgPHD497nqIaO-aCJi3pTMn2_kFu9WzI9CNmJ_I5wt8p7EDSsP9DQsydT7GlaIYbv3RKJML7udQo91TrJNHtzfcEczOIFcGT40dvJwChqaU3dg=w408-h612-k-no
3,11,"Hotel Onoma, Daejeon, Autograph Collection","1 Expo-ro, Yuseong District, Daejeon",0422598007,4.1,36.3753217,127.3814403,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMCo2UiTSkDZHE4B9gTqlFky1crcw4PTmr-p08T=w408-h272-k-no
3,12,HOTEL MOMO,"24-14 Dongseo-daero 1695beon-gil, Dong-gu, Daejeon",01027623767,4.2,36.350723,127.438126,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOLArtP7rMtJAKeECPOGSW63PsNpv_D4moflHja=w408-h873-k-no
3,13,Daejeon Daeheung Hotel BNB,"28 Daeheung-ro 157beon-gil, Jung-gu, Daejeon",0234800118,3.9,36.325968,127.428773,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipMz_fnmB2ngEQO0pzRYuHkLOa2rVmZz-dq-y-Ry=w408-h544-k-no
3,14,CERVO,"14 Gyeryong-ro 155beon-gil, Daejeon",0428221350,4.3,36.35268,127.347885,"checkin_time:5:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipOm8769xHjwEaWkuddyevR2-Nep8kW6dLw3t0NC=w408-h306-k-no
3,15,K HOTEL,"543-7번지 Bongmyeong-dong, Yuseong District, Daejeon",0428222096,3.5,36.3526936,127.3475984,"checkin_time:,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMrJZIjAv_RIwSjSiFfaYIDwA5T-qf9JxoqNafN=w426-h240-k-no
3,16,Lughotel,"72-11 Yongjeon-dong, Dong-gu, Daejeon",0426345088,1.0,36.352135,127.440153,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEmlxeF41vf0sJ8w40PAvqF3-Cx3bNNtguWTIqSvu1BW-SGTcyGDXBdLCZbMyPDCpkVVxQphAZVjxzAg5YphFNn0sERSLtiPvpCDJrNocr9IeeBEwXGfeI3HuRsE4kgusNTeeycjLESS1gDAnA_OfF3kImRZpygThpdd2iPkirSpads3EXdF7LjhA=w408-h254-k-no
3,17,Brown-Dot Hotel,"53-10 Wolpyeong-ro, Seo-gu, Daejeon",0424899321,4.4,36.3567389,127.3632387,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipN20WAHEzA3nq5rqYD9Dz4yNgmvTKp131ONOo7b=w408-h306-k-no
3,18,Hotel Skypark,"161 Techno jungang-ro, Yuseong District, Daejeon",0423234500,4.2,36.4246584,127.3979372,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGF1ERVwDRsjR0ce3K918vhAM78HqUWOEVtFXoh6hM_LYrA5hPQJY9ojWaJzTuop1VA2ZL5_Z3we-sHvtYLYPyYV_ER2wU3-nv0zTS_PX8egSxjgr1LoHvrVofhegk5MLS20OtY4dxtWsrvhuDiiCXpoVUt2S508lw53H9IzFmv6ptDeHKMWTf5=w408-h300-k-no
