areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
32,1,Bono,"240-29 Seonsayujeok-ro, Sonyang-myeon, Yangyang-gun, Gangwon-do",0336735209,4.2,38.0534795,128.6863165,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHpQtmDVP6Wwa1Lb04ikY75lW_Ni78aA1qFDnCTLyjEoL0dxP6SQkWILmYd3ooKVg-WTCIJ09jaqTqUnmrDB2V4bsWZl5X2WbayKHfQo6ATT0DReysM9FRXF444Vf82FmXP_zEzt2nuMLAzEkndG4L90tWrpXv511R1CSzXfCCx9QV-Pft57q7S6w=w408-h254-k-no
32,2,Renebleu by Walkerhill,"산2-22 Oho-ri, Jugwang-myeon, Goseong-gun, Gangwon-do",0336307800,4.5,38.3321246,128.5267427,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMxGR59YCDCmiT150itBTmlrghB9YrPs06_dk4r=w426-h240-k-no
32,3,Seorak Garden Villas,"467-1 Sangbok-ri, Ganghyeon-myeon, Yangyang-gun, Gangwon-do",0336735679,4.0,38.1410497,128.5632702,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFJKE6tIqZtlwohZ7_5oeSVLUa6REOpFrSDJTgZ5M2bjbrR_efNmQCtB-blJJctK4dK0RhdhK0q8U--_KHRSHy2AS1nvFocslE18Ipk75z9t3ElP51If5_RuyUTZXKWGoowKpEWYvoGfLU9vkn1Bx9OxWRNxukqihiFje1Z-G8TTMCPkFn319pi=w408-h250-k-no
32,4,Gyeongpo Emerald,"26 Haean-ro 406beon-gil, Gangmun-dong, Gangneung-si, Gangwon-do",0336444810,4.2,37.798635,128.9146875,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG12vX80n_3THMDUB3gox6f5M7tzdNgRpPuoiLDtjUr0SCRtkxgsRhyBSNcZ5WlC9zTtUerNRfy2g19iE7Ach4fe8pnYac9fC8uc3CyjOvkBriB7vCWOoEAqgepYwct6tV2NfgGFri9xlm3c6YhVRPAtytwiheANooolKEDgjKMnAdRnMQhp6s=w408-h274-k-no
32,5,Green Castle Pension,"8-12 Baegundong-gil, Bongpyeong-myeon, Pyeongchang-gun, Gangwon-do",01036615858,3.6,37.6173159,128.3470455,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGX83lkW5HKwn-qxaC-ZBHZYfYTNIrxkxnyL1MsP6NX4cO2G-RMoWvf1jkAxYrrwQyrU4xnXtMCSNS9TsSvZERO-LfQ5aC17a_IeRMy4HqJz5osTRxtMXFDGbWsh--VtrpcpqO7gp7tI0GG0Dtuunhcg-7DzSnKZaExsBpaSbzVFy7LDzT0iY0=w408-h272-k-no
32,6,Sea Spa Pension,"66 Toseong-ro, Toseong-myeon, Goseong-gun, Gangwon-do",01065862502,4.6,38.2528507,128.5651596,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipPSOD-9MR_e_gcXmBt4N6TNoYhXfDdZBzBnZvit=w426-h240-k-no
32,7,Hanwha Resort Pheonix Park,"228-33 Taegi-ro, Bongpyeong-myeon, Pyeongchang-gun, Gangwon-do",0333346100,4.0,37.5788354,128.3316633,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGf_aIFAq-BPkGfHynom9gyGT8xTGDaj-kl1Rh_uMCyfQeGA5_KxCs2eOSUV43DqKlJGoIlGBuEZT-omL6CLSMOSE__zfQCjXovihaKE3lbve7lMNjHFRClq1YwiWIUw7abCwNsi0bdazpXCjPJWR6hgiyqCBYLUrtgGgwcF-ZPGkmViONAPPrI=w408-h300-k-no
32,8,Gangneung Gyeongpodae WYNN,"Gangneung-si, 창해로 485",01037816600,3.8,37.8034391,128.9092324,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOjjegpwMPWh5GFhvdU3l4KqglhQ1BLAIuEwChf=w408-h306-k-no
32,9,Hotel Cube,"Gangmun-dong, Gangneung-si, Gangwon-do",0336441541,3.7,37.7997436,128.9132198,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGt0unPZniAfNpFa0A9N-4h03jTM3G4B2ar26sHKo7NO-nN5dUJ9QogrftLvKWn4vEnptga2mLqGpAinO84WAiEk-ja02ZdD_8Ft4mvPs3IL75JJbnfiD_m8mIQB42T3QBydN2fGiR1tJleia4A4HG4dUSp8cbzu5GJG2l_4IU6KBhDnTr_90zZ=w408-h271-k-no
32,10,Pyeongchang Swiss Village Pension,"365-12 Daegwallyeongmaru-gil, Pyeongchang-gun, Gangwon-do",0333352016,4.3,37.685486,128.74251,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHP8Fhq6pRmSOgJ6hYAPsPJWTFDTvlFJbBfw44TRpg5841JF2gRuz86TAhVwGSOhBv6r0au6K7KeMxS2ufs81gg_958CCtxqxajn8jU0y5A1bCXfI203vcMcAEn4jj-nWaBJp2skbwP7Ip6lPbBb3vauwMfgFw4MePrsMCnlYWDHapi0C873GQS=w408-h306-k-no
32,11,Benikea Hotel Mountain & Ocean Daepohang,"3691 Donghae-daero, Sokcho-si, KW",0336356644,3.5,38.165663,128.6079706,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0DSkBSc1Jzflg4II3WWdQASrR9tLTgnyz1PgWyGaXT03oGNRFSa_99ZAqYuLu-V3866-gKhgB8tzBwtq-WLZsIunXtp0mGeF2NBMTdvBKe_OUPUJ9UZq9psP8w-xra7IFgt_0LBUUE2__mInPA3leo2aTIXqYz99YkGixITT90bI8YndJ4AL4=w453-h240-k-no
