areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
5,1,Gwangju Sangmu Alice Business Hotel,"71 Sangmuyeonha-ro, Seo-gu, Gwangju",0623736688,4.5,35.1545688,126.849956,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFZnWKGUCtIhueBXWJx3Cb81zHtVBDM6GAWqQc1LhdL4ZfEoJCwrnHw4j6i5EEihSzV1Qx52xWd1o6MgiMtxV1udbn6Vt1Y61Cg2JnLIt5yG_7z6IK0SKAn5WV7FKE_txWWmnory4ohLL1wl9o7KLLKKg10MXMckau5gveqPQx_ZMnlE33-ug9FSw=w408-h254-k-no
5,2,E.KKLIM,"14-27 Mujin-daero 212beon-gil, Gwangsan-gu, Gwangju",0629432800,3.4,35.1610076,126.8020801,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGiN6PB2O2yendtZ9VPnClHH2R4Ww1fii9r27vpD-mqYep7fg_pb907GjJ1K6gHXreeD3JoaR6a6aIrfE_AEiZ6kuIsWbkfBLn1dqQ1-8Xpmj6km9XD08Z7Va0CB2RwDVUSb3Cw1unRCTCknKcm8IbGOx8xRC9WOl4HzoNBWcCoqbr0rVr9xsm0XA=w408-h254-k-no
5,3,Hotel The Hill,"9-10 Dongnip-ro, Nam-gu, Gwangju",0626750800,4.0,35.1347213,126.9008436,"checkin_time:5:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHFOdkaeQLjIWObu6rCX_PFe9aDFr1djWbsw_ZgwsYcUGnMNIE3Jv9s27f1yCh_jcYRWq5heP2RVWvOO-n026Kz6i0ASeh-1Gmerftf5kN7JHoiT_cqXdkvqqL3yjubtRnWA_8syjW5aVGyDjj3HExIXGFWc7dIcW7cPftmATIOSHqyr2i4V6ab8g=w408-h272-k-no
5,4,"Boutique Hotel Wine, Gwangju","140 Sangmupyeonghwa-ro, Seo-gu, Gwangju",0623823210,3.9,35.1497226,126.8537215,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFO3g4imC0Hz_6ZLGtIcltKFt07sTg-HXTsk6AoxYR9RUqi9CBMObl4mZFQx_N2mHdCK2-iFG8XIxeVSg9lcpYYXyfQH_gYRxCXc76n22ax3dffcGsGUARns3Uoxo8uQTxWtal_31ikb_IjHpT7DdDCUoXnLp4aaTIPt3x1WDaKKVwyPnDo_XcP=w408-h430-k-no
5,5,Konjiam Resort,"Gyeonggi-do, Gwangju-si, Docheok-myeon, Docheogwit-ro, 278 KR",16618787,4.4,37.3372414,127.2953076,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEana3u30wFnq-MsMUnsYntSV8Vv07732GolAb-XynqB9JZWxE8xLNr7XjJBLbygSbV6kMOLG_yWYSHsqfPksDIb6JPOZaTDCnxaaZuHbK479RW4kOeN_w2Us1WC5tvYzyOGxWut1KopRdYxhc6_taueRb8J9k6xa4BCHeqIhir3UJr8wR_yi8=w439-h240-k-no
5,6,Hotel Duu,"9 Guseong-ro 144beon-gil, Dong-gu, Gwangju",0622347755,3.9,35.1490042,126.9109823,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG_DC9ymLH1LsTuSQ15B6HBMxi3x54164iX3CW-8cDtycxIYnvOotVvMTe-VNp3S16Dy4rmV_8eCfkJ3uylq-GalIAVNIWcxqH7Ny8nxm9S2gL_6dPKHLkZYRHFB-WGh2RVM1_qMVFf3Q51nk-v0qQSiblKrgRgrIm-YVs7dfJSt_USS8pBs4sN=w408-h272-k-no
5,7,Hotel Making,"8 Sangmuyeonha-ro, Seo-gu, Gwangju",0624532200,4.0,35.1489407,126.8505334,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHX0A6gyhN53YRV1VmVtL2gT7GQ_dN75vMc9gz_iYpng5pA6zrPH1t7WsDU_WcwiJD7Nst5wyW6Y8ifDGhalZEK-8U7uEH5hgv5HgFb_4RSQR5FP0UiZPIzR_QxXQvaa3d2IQtVfVyK3ugVnHKPZUMI_-789ZRinF8yioZetrtlaabUm5tFl1kBvA=w408-h272-k-no
5,8,Brown Dot Hotel Sinan,"5 Jami-ro 10beon-gil, Buk-gu, Gwangju",0625110123,4.6,35.1669344,126.9032505,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMllD0D_Fkrgd_bzdRMqxBxWIIt7Fm4Na5nFDzo=w408-h509-k-no
5,9,HOTEL THE Spot,"32 Amkor-ro, Buk-gu, Gwangju",0629711362,4.1,35.220717,126.8531921,"checkin_time:4:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPxWVAZBP8Es2DcG5Qm2gV2flbqz0sbeHRG0cXT=w493-h240-k-no
5,10,Dom Hotel,"35-6 Imbangul-daero 801beon-gil, Gwangju, South Jeolla",0624460700,4.1,35.219656,126.845195,"checkin_time:3:00 PM,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhECjfw0GFBJ7BbM1pgjCSJo79JJfypXqhSlUuOxqcYcRcPA9oopRL_NioK22jeKx2n7GmIGYusRfaKis1WwJWGfD0gZHw0OqJ0he_BxdNFOKGgA0XoQ4ULhnBZqDYTSdRe8P53mqT1wj68Q5x-LrNeA51BubnvRZs0q6GVeQqvc9P7qSpQP79Nn=w408-h272-k-no
5,11,Gwangju Urban Life Hotel,"9 Jukbong-daero 78beon-gil, Seo-gu, Gwangju",0623640003,4.2,35.1604569,126.8845958,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF4y67LG0QCzzo3IyOs_de0mwpju5P7kT79pHWKpmPDEq2b3_scVCBsumAEJjLfYrnGQsMscaXEVsv4PTSa63DeQeVsdkArXqGpwlES8hLjw_UWJhLZ6FzzFingkiOiLsrJ2eXNlMevAzZBBhuN5LLUUoulb_dFngj52AC4oTnKFT_-q4td-Mc70A=w408-h254-k-no
5,12,Gwangju Tourist Hotel,"56 Seoha-ro 183beon-gil, Buk-gu, Gwangju",0622617777,4.4,35.19234,126.90137,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMnYyhn9YF0eHPGSAaG6OivVX_WUVlmxOfKiRJM=w408-h306-k-no
5,13,Empire Tourist Hotel,"25 Imbangul-daero 800beon-gil, Gwangsan-gu, Gwangju",0629622000,3.8,35.2162875,126.8462458,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGPFldSp0_VxHtzE6LYb6Qz7ZBxAR_CulgRsz8YGHk2teUmzxCkM5_9pg3doknkWe71trmp8gdPaHrrX3jlydVv_x626ykRUWBi2RlU0TWexgTFmAqxhiJwEifMUQXAnw29N26V-Rv1IMX80KwaeKj4-D38f7H7MWg3XGR7fsaWPc1fu4cYrBOdcg=w408-h300-k-no
5,14,Hotel Summit,"90-20 Saam-ro 171beon-gil, Gwangsan-gu, Gwangju",0629454000,4.7,35.1605801,126.8022301,"checkin_time:4:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHywpruRPAt-bQ7o5Zz-ybXq85RuI-4iPdpsia_XwqCLLJHtC6TQYFOWmbXbmmsYIbDSeJuQJju6sx6PR-eLv1DCTnnmxuByxoyqzBEYBTnBXLgVJaKd-bbprE2S01Yof0Y5DBUmpvpLlzTn1SkXln0hblMbkyeMoyTicVxn7f4RtaaCdXCHA0m=w408-h272-k-no
5,15,Gwangju Hwajeongdong A Plus,"7 Naebang-ro 343beon-gil, Seo-gu, Gwangju",0623519000,4.2,35.1580947,126.8779866,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipPUd_SYe7YGWcLi3R0T9ZEMW77CmmA1MfPkqDk=w408-h306-k-no
5,16,YAJA Hotel,"97-9 Sangmupyeonghwa-ro, Seo-gu, Gwangju",0623841185,4.3,35.1488932,126.8496101,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHJGO8DMfyH0lBO_Dq-th00DDluA3DFWFiXZhbV36gR1D9Ein3wPDBg_f2U5lgCpOda_qj1FVtFlIKHbpyD-G1dvE2Yw-HBlxz849pfQRdzpCsXL-AiUBM17gCVrJ74KgMIKGXFgZHbz50Q_1of_vd4FAWushkajgzBPNrcV2qciWTNDjaZiPDz=w408-h272-k-no
5,17,UTOP Boutique Hotel & Residence,"53 Sicheong-ro, Seo-gu, Gwangju",0623708000,4.3,35.1531555,126.851325,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMwGdA4fZRGppZ7Cy_H1oCY9fjhhwCc9ML3dMD1=w408-h306-k-no
5,18,D'you Hotel,"22 Sangmujungang-ro 38beon-gil, Seo-gu, Gwangju",01094091289,4.1,35.1500186,126.8509096,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHCDyaN5Gxi_zqd8iZzo0Yriy3fsNGx8u6CM6GI1bpCCn5lVWY23mYALmBOxhQTOoEr5M_alMxIdMtdMytkZKdyNqcN3GiP7_DV4Hn0UL3UymIZq8t4AFvqBOuElTxENPy1PTV281UaKq27UAI14eXR3hpHQG9gnORRwoevGdNG_izjV9rY3XN0=w408-h254-k-no
5,19,Sup,"Ssangchon-dong, Seo-gu, Gwangju",0623719660,2.0,35.1556252,126.8603458,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
5,20,"Topcloud Hotel, Gwangju","57-1 Imbangul-daero 825beon-gil, Gwangsan-gu, Gwangju",0629723110,4.1,35.220438,126.8481982,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEhdZ4CP7gG6wxa_XMCFxSPcun1zecFy5u99AsGrBDPDBVld0Wn5c8dGivu2DqixffP166cY1rQr8iMhr1zIi5t4miqDJFDm1d0MtD5fRT7vzy4FB6i7C9OCO_--f78Cf_1l7aEaKMUn-dApjhGmrhBF28Zil9tdz1R-PAI7w-G1tciwLSK4yXZ=w408-h271-k-no
5,21,Gwangju Hwajeongdong A Plus,"7 Naebang-ro 343beon-gil, Seo-gu, Gwangju",0623519000,4.2,35.1580947,126.8779866,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipPUd_SYe7YGWcLi3R0T9ZEMW77CmmA1MfPkqDk=w408-h306-k-no
