areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
35,1,Hotel Yo,"11 Indongjungang-ro 1-gil, Gumi-si, Gyeongsangbuk-do",0544714300,3.9,36.1069767,128.4195252,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipP2PeqdZsJwWGSRQHJfXdMtxHci6ybsHYR7-vjv=w408-h306-k-no
35,2,Albescent Poolvilla,"20-1 Cheongun 1-gil, Gyeongju-si, Gyeongsangbuk-do",01051938400,4.3,35.8323125,129.2770625,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdTWAF7LaPtpusyUdSdJDQg4e5-E6O_GeQcWxpK5l0FCgRlV9MbUTX7Kid64Vn_N4BvZACt4sZ7qHerdfNAd_a43aPk1-Z9MKEf1NMGsCul4qLE03G_g6C-M8EBHfbTrAK7HptZ6wtw1CPPzmrZiV68nEO4J1m2Z4ADX1kbHu7_ItcL2BdKvcu=w408-h272-k-no
35,3,Fun Motel,"20 Songwonseo-ro 4-gil, Gumi-si, Gyeongsangbuk-do",0544550025,3.7,36.1233687,128.3458535,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE2cvuC0Vc1VqWRq_NeRu9x48cOaVv_bxm1VMztZ6dsB2gbcNK256spXrsHvCiZOjReR1JlcsfmRILoDYMZ5eK7oDBDm77SSGamD05OXvaQvMnCqgDqBJIxmHrN1YKwY-xgb54IjDaTIoyAblhIRnrbLo6Voua71aMnzMbm8kA2gJXLD-WiNnXg=w408-h254-k-no
35,4,Hotel Palace,"Gyeongsangbuk-do, Pohang-si, Nam-gu, Sangdo-dong, 588-2 KR",0542729122,4.1,36.0114497,129.3471804,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH92AaQjo7XO6U6dHy1682oyEa1ER4krSigy1x8FJKwJzOO77QbYX0XFDti1-U0AlGpYkOYU4ipXR3uoTqbq8tIzgBtIRfydcSyVm7CY6_U4s-6jKydY7RH-lI_o384FGPkxQCiC0FpZO2XWlrMv4MQG_Uv4GPKUjU4ol6FKv0kim9FZiCIkFI1=w408-h254-k-no
35,5,Adam Hanok,"21 Pirundae-ro 6-gil, Jongno District, Seoul",01031133722,4.7,37.5802591,126.9696684,"checkin_time:,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipN5VKuO7kqLGuQ8fXuVYDhNbDXZDp91gHrrSD1t=w408-h272-k-no
35,6,Enjel,"Seonggeon-dong, Gyeongju-si, Gyeongsangbuk-do",0547498881,1.0,35.8558915,129.2045005,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
35,7,Gumi Indong Hotel 7 Plus,"19-4 Indongjungang-ro 5-gil, Gumi-si, Gyeongsangbuk-do",0544721456,4.5,36.1086397,128.4200096,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFmvMQ0u71JWu7pZ6CiVL_CQGqu-OrFD-GulIcUE6Z67ybSEBoNIOdmA4AuoAGqZp2okCA8cjwvIzTB1JUM0PfaDZ9NleL6EAa6Qc430GXRyXsglP-riTFpM_61Sxlo0Hq0qeQubvufYWThu8EK8gdoXDEfpAK8onbtOTJA1MctzX0CmkxyVLZ-=w408-h254-k-no
35,8,Naham,"Gyeongsangbuk-do, Cheongdo-gun, Gakbuk-myeon, Osan-ri, 595-1번지 KR",07044179595,4.5,35.7124638,128.568348,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOU3p0dUlXTp_yUZwTBxpatmnFxDlgA-nXcaRcN=w408-h306-k-no
35,9,Best Western Plus Gyeongju,"1819-21 Donghaean-ro, Gampo-eup, Gyeongju-si, Gyeongsangbuk-do",0546249000,4.1,35.7710638,129.4927677,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFak1s39wbxwx_M2p0anKw7nEJFMRFlHu24xUeWpKOh7lVSoxaH1XLC5Kydi_xeX4VDysVz_Wcz1cFkZ43eSWvTeBufoeXWLk2GE5ciRzeW8viQOxd94qztj8BsLp-dRatqcPHR7jf7QrH-5UpJyd6bHFbyNTmdokQV2pU_9eBm_D3wn-kOEf7_bA=w450-h240-k-no
35,10,Kensington Resort Gyeongju Bomun,"11-1 Bukgun-dong, Gyeongju-si, Gyeongsangbuk-do",0547488400,3.4,35.8607274,129.2683821,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFYm4TKM8yAYrBWo9LfeG7A3n3uyzFGpPMyiyvPDnXjKtc3h5kxR2OnrcXJqY0-pi2A0c6-APh93IVM2PQkpHFp5nV16cRz56l6ae90pxERbV15NqcsPcp18OfxejWSLHYPIrqtUWKVYJxPuyBscuPEwTuU1AWDoIASeyn2QLDGtxuXinSPGC09=w408-h271-k-no
35,11,Rose Motel,"25-3 Taejong-ro 711beon-gil, Noseo-dong, Gyeongju-si, Gyeongsangbuk-do",0547723131,3.4,35.84107,129.2056,"checkin_time:,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPhnWZxEFrLf0hVgpb-QGMrRxADZbyTr3nisDmE=w408-h724-k-no
35,12,The Classic Bed and Breakfast,"250-39 Samyul-ri, Hupo-myeon, Uljin-gun, Gyeongsangbuk-do",0547882792,4.1,36.6749884,129.4417096,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMVOI498BqdJOvEm2VBFgwB0EYM5PgGUO5_1bGp=w408-h544-k-no
35,13,Bomun Lake Pension,"449 Cheongun-dong, Gyeongju-si, Gyeongsangbuk-do",0547415353,3.9,35.833092,129.2780487,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhErdX3EPQJMYSF-K6X3bZe7IVcY37gEwoigCk8bG0lGb2LpzWTCfMlFwYi5l0h0I-qygmJl0w5vFBsO7u6yDcgBKI-OwEvf7HuU8J8sx2wRAy4Vcm-lbV3nGl_ibUT0z40mXcj7eBhvX92keu0vxyZrjNaNIYNLnqjZEUMrgwQQvisbQ0dZt9e6=w408-h272-k-no
35,14,Maihom,"157-22 Seongdong-dong, Sangju-si, Gyeongsangbuk-do",0545331722,3.9,36.4156043,128.1663172,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipMX3_VCLGdn__W_yhA-QpLVuq9HLxUl5fytk_NV=w408-h306-k-no
35,15,Motel Zaza,"9 Indong 5-gil, Gumi-si, Gyeongsangbuk-do",0544716471,3.5,36.1043375,128.4224531,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFv8G9hLuddpy6vOzEc2QLScM9JeSwnxjRNVOILnw97ODQcZNDCB7RPg8qHcmORnf5Df4Qte7iLSoD1WqMO3tprKKDHkSwlIBiLXhexVOt9qO3KAI3k_ylw6Cw3eO1ZZgYKfHA5RwnGc_IQFdxxGPGzipHh32acunWn7-fiURGoon_QZNecrprw=w408-h254-k-no
35,16,Hotel Logenir,"16 Hyeoksin 3-ro, Gimcheon-si, Gyeongsangbuk-do",0544294700,4.6,36.1175796,128.1819937,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHUXbhqXAqutDL06214_pec2HVEKcZocnLYZlKdHThAN_jf9rvSzt2iKlQU8YTmf2LAOg8bJDGR3GAxiDUUax4OKd5157fnz5lnt528S44yXh_ei-IRC3XjCMQoiNlNo2ukK05H6h6TPoZmGoyJ2cGNoASD8AAQmD4SsAY07CgsWKkE0kSGtcmm=w408-h272-k-no
35,17,Hotel Yeogieottae,"26 Gumijungang-ro 33-gil, Gumi-si, Gyeongsangbuk-do",0261057115,3.9,36.1252155,128.3451469,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOg81lrnPUN1d_Vevy3QbwtmEHe4I__OpcHDbsV=w408-h873-k-no
35,18,Daea Ulleung Resort,"Ulleung-gun, 울릉읍 사동1길 43 (울릉읍)",0547918800,3.7,37.4766031,130.8920385,"checkin_time:3:00 PM,checkout_time:10:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGeeuFgsAUET82oFJoEAZxLdquy6ZV4AF-r5HiuVLsCFOu2_h3_AbMK9rBpGYCuItjdo4PWvlKKObLYMmrIJnzOgQIqWEH2AWVhpS362Pjrlt8Mscv9rWwleeg96N2vgx_t-bNzm7uIJ8I-_7mVQFNX9Z8IZPFqyNd1XCaE35CwkxdMZ2nV5qArTw=w408-h260-k-no
35,19,Alto Hotel,Yeongju,0546325000,4.4,36.811123,128.62321,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHVCIOd1N6GL0I6PBiLXWPwSwioz3j2I9hDqJnUus8ZhIvFShIR815K3-JYsbKmAJVCUVFhmxb_xL6gD1Phc0XH91Bloe-UwuWG3Y51o8rdXgD2n506r9dgOfZdMbhocph5jw52qDkYdu47ONzc7xsb_zv9rGXveDnlL6ga3xYDPUQlgZTyP1hn8g=w408-h272-k-no
35,20,Hotel 701,"21 Ilchul-ro, Guryongpo-eup, Nam-gu, Pohang-si, Gyeongsangbuk-do",01037900013,4.6,36.000282,129.568122,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipP7ku00YLT6rubguU738RZvCiRsL4bU7jd7Flbo=w408-h306-k-no
35,21,Sun Hotel,"72 Seosang-gil, Gyeongsan-si, Gyeongsangbuk-do",0538143900,3.2,35.8190767,128.7347153,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
35,22,Maison Mini Hotel & Guesthouse,"24 Taejong-ro 699beon-gil, Noseo-dong, Gyeongju-si, Gyeongsangbuk-do",0547453232,4.6,35.8405618,129.2048554,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH1bmu4VdWm9Qzd4dkkCpDKruCwILxK7ycpxlWNtzbwZDi2FVniu1shFtFJ5FkSbcMYCLo319VlbxyWx0kFEL2TNfK6-BA-8K2wXxuxNfP2hpK6me4jQQHG2K5AJiKCB5vNZbeOj0X9dzHC3bXg3Ic6gqwbHGdPUd9Qbyb2v7QnZzDEJXYjwcsO=w408-h368-k-no
35,23,Ramada by Wyndham Gumi,"41 Indongjungang-ro 3-gil, Gumi-si, Gyeongsangbuk-do",0544799000,4.4,36.1098142,128.418393,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipO3mpnXlO1F5BldBTYNTbOsWYmJOBcnK_7vKzeE=w408-h272-k-no
35,24,Hilton Gyeongju,"484-7 Bomun-ro, Bodeok-dong, Gyeongju-si, Gyeongsangbuk-do",0547457788,4.3,35.839999,129.2859734,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOtDYxT1Czzjd5eGEkNvvxCbgrpFQuqXwQsBEAx=w408-h272-k-no
35,25,Glamping and Caravan,"603 Guman-ri, Homigot-myeon, Nam-gu, Pohang-si, Gyeongsangbuk-do",01089741004,4.1,36.0792186,129.5463261,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF1JtUdTl4Ju7ztCAIeuoYF_rj6qdGX8Mg_YF6yQ64lHi1LELpWdJNg25aQy1GjfwoE9-4nHx_16Yo4B3fUKm-ehcqeFe9a4RslO4vaeIjtPEATZDHTQnE7z1G_nxy0gwY7Hurwg1aDhtjx2VBCoW8St4xZQNeEbco580qvqp8vgZlXsa6riFLS8Q=w408-h254-k-no
