areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
31,1,J HOTEL SUWON,"8 Paldal-ro, Paldal-gu, Suwon-si, Gyeonggi-do",0312560723,3.4,37.2698268,126.9998325,"checkin_time:2:00 PM,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGw4nD-P1yyTElLLd-Eb6gSnyQF-uWz7QkIdRwoL_-2PjOO_wn61GDAWuf6rsdto5V5TRQ-1I2blBJvaGsYrdcdoZNV4oF0ejIttieyKB9UbKumOgXXVXRAHdN0ZppYIEYL0b1kGwQH6bN1ZL5kZjZTMDRY3XYnrz3rJSQ35vt4-u9t05VasG8=w408-h271-k-no
31,2,SJ Hotel,"218 Manan-ro, Manan-gu, Anyang-si, Gyeonggi-do",0314642524,3.9,37.4002612,126.9234635,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGOo0vyUgIzzhkOWtDv3DC6qnrvwupNkOjw8pWmXdE96JvMg9F9EQIIfaD9-zEpT00Rp3zKzNycvI9mkoMThuaQeFB72L2hzWfBjVOXdxlN3ubpB50ZOeT4qUR6pTcZIMvZ7Thnabf1kNbB7jPz27bjmMq7rBUWxuD8cPLyb5GXp3j2qH4Ca2Lz=w408-h272-k-no
31,3,Hotel Myeongjak,Suwon,0312476000,4.4,37.269207,127.00741,"checkin_time:4:00 PM,checkout_time:2:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHHc-upiCEqwCptRiSCI_4eqYpjc0fCThWMnPB0zkwerfQ3inH254ykCQvsPhDOBlY6jSdXlngUeqbxwqtWkRUzWbSAHMCATLlXq3ugbv6nLFZO-H7Ck-Jvs6I4q3CMxd3e4sIBQ6J93uB20BKVTPW5nkvJfGSC2Er0yY8Al-DOEVoYgnY9Tibv0g=w408-h254-k-no
31,4,Ramada by Wyndham Dongtan,"199 Nojak-ro, Hwaseong-si, Gyeonggi-do",03180039200,4.0,37.2058064,127.0746707,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPp85eNjPbaF0cIUB4Q6Iy6qItD8wB9kEnpBqdb=w408-h541-k-no
31,5,Dongducheon G7 Hotel,"17 Jungang-ro 246beon-gil, Dongducheon-si, Gyeonggi-do",0262053886,4.5,37.903322,127.05456,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipO6b2RhQUtQDFJmu0oA8vEQvkPLLk3Ccmu_3_d2=w408-h306-k-no
31,6,Deohotel,"Gyeonggi-do, Uijeongbu-si, Uijeongbu-dong, 506번지 KR",0318760850,3.0,37.7369906,127.0415723,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
31,7,Colline Pension,"269-45 Taebongdumil-ro, Gapyeong-eup, Gapyeong-gun, Gyeonggi-do",01028606411,4.3,37.81431,127.4666368,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHsMT0x3u336ShXxVdx3wipcRsYW7zGIQCU0uU953U0IURDLLURSO8BK29GqBK6Ij1AZLKEJvpO_GoLGnmx19KKTqx5GYpR_T88Q9vv-IMtIZLjud4Jg4BjVNidIPb-YH_iIbXFUIg7JlgFx4YgnwZqvSY8cx-Hoy9YX9HGA-sqiarJNilE8LxQPQ=w408-h272-k-no
31,8,Athens Pension,"355-14 Sumogwon-ro, Sang-myeon, Gapyeong-gun, Gyeonggi-do",01041019004,4.1,37.7487747,127.356735,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOEp6wNZmDJ8UdvBbjx2dtc_NHV7-N_b5INBMbo=w408-h544-k-no
31,9,Kuchina,"879 Doil-dong, Pyeongtaek-si, Gyeonggi-do",0316644248,4.3,37.0669867,127.0922502,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipNYwmWHDSqv4wsRWnTP8vbEMJlu6f9Ba2UFTfwo=w408-h544-k-no
31,10,Cozy themes Bed and Breakfast,"567-10 Baekdun-ro, Buk-myeon, Gapyeong-gun, Gyeonggi-do",01052558372,3.9,37.9069362,127.4465046,"checkin_time:2:30 PM,checkout_time:11:30 AM",https://lh5.googleusercontent.com/p/AF1QipPVVty6EnUGZZRtoSX0qNlpacEX7qOuLTHMAvJK=w408-h306-k-no
