areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
36,1,Pine Beach Pension,"51-5 Hakdong 6-gil, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",01050117169,4.4,34.7705092,128.6387772,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMT2_M_SPVQsiLZ8f4dGICTfuN0tKB0xxZxxeGn=w408-h306-k-no
36,2,H.AVENUE,"60 Hakdong 6-gil, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",0556356333,3.2,34.7715855,128.6380697,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG7K-x0PhGsoxHi_Jg1n-klvBslcNe0mZVfN5jEDdt0M_eEaCs0E9wTp912gQ831rLAiA7OHEZB0Ha9MCspILLpu0U-ZTX8H68zAmKKAB1lwxZMAKOe7LMxedw9rix8ALcRFo0e89VTfxXs_R39eR21k5Ai-vBiNBokdbhBtGm9m3aseMBOEIU=w408-h272-k-no
36,3,Masan Almond Hotel,"19, Woryeongdong 11-gil, Changwon, South Gyeongsang",0552411230,4.2,35.180595,128.56496,"checkin_time:5:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHP2bk0uPRsBOUyuJFxgL5ToMpuYnkYGXb4Ig6So2_4vRSq_viDNoZXKiX5t-XSBLDZ5HRontXtsCrnqKXUG79s84dkTBxFPCqY-mO0-Wt4ulQCUkgUZqppWe_In5k17sTJ108GQ-SRLyz02TWruIgyDjmaWh74lR6Nrg8OmxwV0LVZ58PaqdO5=w408-h271-k-no
36,4,Namildae Resort,"Gyeongsangnam-do, Sacheon-si, 향촌동 707",0558329800,3.8,34.9269169,128.0956424,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF8WWXNDotFWsy7fMD6lGo-V-bXvBxj-uvpb0VDJ0DHMPJblBL1e4Mi7gKhENxzAWRjhCf6UvXp45hC-wLuJinha9j3NJquhrzgV-IqUjS9fd5TeMqnDQHchY6F0H9aG2fTriJZfVBSgQ2vOD_O-jFlIR8zRVlXxrgpSYxqissL50v4QbBRaEPLKg=w427-h240-k-no
36,5,White Black Pension in Geoje Island,"32-1 Hakdong 7-gil, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",0556355555,4.3,34.7786106,128.6401706,"checkin_time:,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFf7G0YnLmGrBGLPFJacojkYJpool84UHW0JViio-1C1O71VhxD8Q_E1yYSeMWd2JlBoUvP_kK4A4JwA6OiuY5kEGV8Ky4mj5cR_o2J8SEw9LRIzYQMtAjZyMPj1G1YKLQoqD1lNHVz_8zCqNB8nmxa7Olhru6dCvp1vldL7kzaV0LnszpTdlWJ=w408-h254-k-no
36,6,Olive Pension,"8 Hakdong 2-gil, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",0556330348,4.5,34.7730056,128.6379633,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMZ9ELE_kkjORAnSS13WFjg4WT9EfHJNA5tvkFi=w408-h544-k-no
36,7,Namhae Gana Pension,"16-17 Mulgeon-ri, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",01041031363,5.0,34.8014874,128.0490585,"checkin_time:3:00 PM,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYow_vwznIVp_g5kl002quGLuoITJNXf5rp88jHhEHfmN5SZarZscGynW5cO34j63U5vkV16Oyc294MwUcyH8Ssxg4WNIaED0egAUTvEm2Y3yUKILrJhmRD0BBxyjbHoQVRbhRJr-lzukybhWTYEC52sUn-RHmi8p5uoZrR10FndNaIY-GNgh5=w408-h254-k-no
36,8,West Port Pension,"134 Yulcheondumo-ro, Jangmok-myeon, Geoje-si, Gyeongsangnam-do",01027309909,4.9,34.9770393,128.6946115,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOhe1R9tlF3B2uyf9VdQ2wZrBrU2wW3BsDV-Jh_=w408-h306-k-no
36,9,Brown Dot Hotel Jinju Chungmugong,"103-9 Ena-ro, Jinju-si, Gyeongsangnam-do",0559241010,4.3,35.1785675,128.1403165,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGEqTJ1Lg36yMPMLErQoRpbcMbr1-UbQr4O3VGUWj1QyxfIDG0vuZrF6yrHVqpskc06iZNwRKwx5RKKqNNrEy4LOBjBKR5FzURNVjdHoeU0QUOK_E_tAoP9vP1RjjB-AZKtgLmSc8-0ihdS1bbDn5U5rK_lFUR1pf_ARmLnlmffTw_Eapn0jjuS2Q=w408-h612-k-no
36,10,Geoje House of Mind Pension,"38-4 Sibang 2-gil, Jangmok-myeon, Geoje-si, Gyeongsangnam-do",0556327243,4.3,34.9646521,128.7115877,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHKcR256c66jIcg_D7t42jZ2q7Z-E3X4i9MK9JLe4O3Fx3GwMwnWAre6FINiWz0YIMKWHgNopPNFfqar96ctBkStOW19AwGqNYt-mY6iYAURDGN-T4zrzXdZ5rYaR_4tgQIOjj34NHhj_baAozyKlYFSdWGRNKaFjxvHx1VvYJSGh42-01q3uTt=w426-h240-k-no
36,11,Break Time Pension,"46 Hakdong 6-gil, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",0556352260,4.3,34.7711712,128.6391882,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipPfRKY6YrkkRlXS2_LEfbpa22bUssYJgM6u589i=w408-h306-k-no
36,12,Yangsan Jjak Motel,"113 중앙로 Yangsan-si, Gyeongsangnam-do",0553658883,4.1,35.340879,129.0371444,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF3OEckTeOw3KKeYi28Tocq-QsNvcKd8MQyarK_4O6BnsT6lthhQ8K2Y5igGtScDbA8KhHi57oOIaWArk8fl2-O2J2MjnmVq2TZt68SEPXuHjbSTrqemnZIFPdYTPOBhQ4-_5c6RCNdE_HSkcstvA1n7m8-S3jRBh2dPCbNVVoR6nt0RN-mprHC=w408-h272-k-no
36,13,Zzam Motel,"Gimhae-si, 대청동 56-12",0553333637,4.4,35.1931153,128.7985048,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGa9aJ649MFxdxhD8VSbxr0_xNXhVg_OShd2fFW5l5yybovY5x6uDuIE2_4RM8Jd3b4tWe7ZARUvU3D0hkzVCzSfdjk-4mdFaCQCe45wKrjHuxtyN5hES5PUVPwChoXxfvxNmyEOmjf73RK5cPYp03njkWVXX14n3BTlQpkng-SdGnBDWOr8tvbzA=w408-h272-k-no
36,14,Ocean Captain Pension,"921 Geoje-daero, Dongbu-myeon, Geoje-si, Gyeongsangnam-do",0556364484,3.0,34.7729346,128.6387863,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHd2n7anaKZC-xDv5OYA_szAC2FTms9IUtpGRLYgIwjFK_NVNuFBDotB81fKX3Q7-k7IZoyupsTrRwW7HIRYyerI-HysSZa3l1EJA1Lvax30WPzqWM00g-ssAbcaRwgKLcvtjAjkX908CswlRYjQEU6o33N6egqsnwgWJubBjmUHP9TkL2wslJDDQ=w426-h240-k-no
36,15,NO.25 Hotel Convention Changwon,"18, Changi-Daero, 113 Beon-Gi, Changwon, Gyeongsangnam-do",0552761133,3.4,35.24283,128.64879,"checkin_time:2:00 PM,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipPztXIztFM_KPxqiu5XVXaGKvAmK37Llk_AxS-z=w408-h544-k-no
36,16,Geojedo Genie Spa Pension,"3-2 Seomok-gil, Jangmok-myeon, Geoje-si, Gyeongsangnam-do",01096859903,4.1,34.9574124,128.7137464,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOUoV153scjfxYnW5Klvw4vKEX1vYYr3-NSmPzd=w408-h306-k-no
36,17,Hotel Yam,"4 Bibong-ro 58beon-gil, Jinju-si, Gyeongsangnam-do",0557431114,1.8,35.195753,128.0804582,"checkin_time:,checkout_time:",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
36,18,Geoje Wahyeon 47 Pension,"47 Wahyeon-ro, Irun-myeon, Geoje-si, Gyeongsangnam-do",01091960558,4.0,34.8160821,128.7087147,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF228rFMxZ13P7DlCJg7EBbZDtJFOYm_3SiVBCpGf4SYi4a1OO52WbIUf7-lHKIKrADPVR1ga8CFNcSmKX_OYdce8iZZzBlTQYgjNfFbh4ZKnRvmRqstqhIimOy38IPNwyWdS518EdRgpnm9NAUpC9ror71KGo5-J-MNrwDJGqeX-Fs6zDwl1bm=w408-h254-k-no
36,19,Hansil Pension,"3 Daegok 3-gil, Hacheong-myeon, Geoje-si, Gyeongsangnam-do",01099095702,3.0,35.0005001,128.6369037,"checkin_time:3:00 PM,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOOMI7NbyNdmw9U8NPbhbaog-qe_DoJMjIRKJUv=w408-h306-k-no
36,20,Changwon Hotel JM Sangnamdong,"7 Danjeong-ro, Seongsan-g, Changwon, Gyeongsangnam-do",050350524829,3.5,35.221025,128.681675,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF2cBOge0qQzGsblUNcYaQhNAVCMlm2twwfRwZzBvCb-ff6t6mA-mKOO7wahpNtwPPBLfI_Mvuax06xZSMdhm-ZryagYZHOAz0O4OrNU83iyfzW2dRnQmv4Teok6heRjINToulIkqxoCY_spPWrDekSu0HGLvZ2yy8iG3mO9uRvrioMXaie24U=w408-h254-k-no
36,21,Changwon Masan IVE Hotel,"126 Hapseongyet-gil, Masanhoewon-gu, Changwon-si, Gyeongsangnam-do",0234800118,3.0,35.23733,128.583332,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEwbanrpLbWmJJkSDqk-EnCnxQgcaVrNUN-YA2r2LLxp4iD3DCnabjSEdh4RUnb1R_kZl3rEpUGWTgT2u6DSztvqAoSd5DKVYmLy15jqTNHtNd7fCJlfTxXkP0w01gxCxLKgF0CWCt2PsslAoZ_lk74NlccWfut3ESSUhBq8Sp1cgwTunIRAPZ9=w408-h254-k-no
36,22,Hotel Brown Dot Waterpark,"8 Beonhwa 1-ro 67beon-gil, Gimhae-si, Gyeongsangnam-do",0553128666,4.0,35.1933309,128.7990576,"checkin_time:3:00 PM,checkout_time:1:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE_YSIg3vhzHn-xtW4euBcf2QPhwi17vkTiRzAig3JOgZWeOZSlVBreCbcmsX8t4MNDhvbJ5tSkPuUHQ5pxzOcCt54EXHuKDrXPuRSvIl6hZUgsngLGhq29l0HYHyFKyCKioxquJ4kCFpb4Ewwo4e0-hsE170G03dVjtzPNSLJW8Bs8XjNKkfv3=w408-h286-k-no
36,23,Namhae Palace 1470 Spa Pool Villa,"1470 Nammyeon-ro, Nam-myeon, Namhae-gun, Gyeongsangnam-do",07043649354,4.2,34.7486857,127.8570886,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH-YIAbHHdq38uuky0zt-8twT5v5y9i3AcKLJndfrtSXGXJzAKuCyDfz3uEOCLjnhwm3i5_1WYdLW0ctkzCPGuno9qc-JbHkDVbHsUnJ27ys2jW00sWxV6UCZ56OYm0SHVK4il4UHxD8kORE1X0HyAwLLeMSrL-tovM4CRE7IpIVfBeRIkAK6-V=w408-h271-k-no
36,24,Owl Hotel,"69 Mokseom-gil, Sacheon-si, Gyeongsangnam-do",0557867877,4.3,34.9241231,128.0752384,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG83vpU7mF5vygCs_mhM2qSHFNCTpXNAIGwFX5owmK98nBMOEh93eQW_c2fB2StO_JEhFO0uONwZU4NtGPaSMASqsnOJYiPehf8GwqIxxqBZw8teNYJjIbPlfo8E0VjMGWCi1lh5yzOz1OfcMjj5j4C1kXG1d38x1QrruFGPgSk7qFi8btENDgH=w408-h306-k-no
36,25,Vivid Pool Villa,"3973-7 Geojenamseo-ro, Geoje-myeon, Geoje-si, Gyeongsangnam-do",01066255251,4.6,34.8340777,128.5561825,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMBSMs1ZZvOj4uJiK6pDjg_O-MfpboazmHwJ3SD=w506-h240-k-no
36,26,New Grand Hotel,"97 Ena-ro, Jinju-si, Gyeongsangnam-do",0557567777,4.1,35.1777875,128.1399844,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipPDLc_CJtUgSmywAEnP3BP5OXMifkT16E5CmvaG=w426-h240-k-no
36,27,Sancheong Hyu and Joy,"130 중앙로 Sancheong-eup, Sancheong-gun, Gyeongsangnam-do",0559748883,3.9,35.4148125,127.8866406,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFy2RmcZkOWR1D2B3wuo6mWpyZ4RlG5PqqSJDSwPG75nFu0DqmynbMBjXH3Ti3YnI8UgzX9lRnUVDIB52YR0N6-FtfbfgOpjWbwr7rr5ZPqb2sbZENxUcNsG2bgW46_w9sfeh7KsT-i7Rh87OZDGGQNLsnPHUMso0Za59fAQQpr2-9Y6ZHWMslp=w408-h254-k-no
36,28,Cheonghoje Pension,"109 Hoam-ro 632beon-gil, Danseong-myeon, Sancheong-gun, Gyeongsangnam-do",07089947562,4.9,35.318604,127.9087697,"checkin_time:2:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOb9IDIBRupwsSpShoqi4z3aB9UoqR8H6TsyV1q=w408-h529-k-no
36,29,Sweet Hotel,"15-20 Inje-ro 170beon-gil, Gimhae-si, Gyeongsangnam-do",0553385660,4.6,35.2446122,128.9058656,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHvML_LmjiOLRSJ9O3GsiqWt_643nUsUTckIrla9QvdpwnO7O851pmA4CqvKlKxp4cBPrFYDV-v2f2djFRH2aLf-bfWBbXIGgDpXYRZ2cUGqUb5gGPD-PhVgvGIXTSyczVuvBnKcgOujMiZpqc60wY-CpsKxngYGdJ8DMb-3p2nrmPgS57EZywEKg=w408-h254-k-no
