areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
37,1,The Hotel RONI,"Jeollabuk-do, Jeonju-si, Wansan-gu, 고사동 186",0632811000,3.9,35.8207265,127.1441303,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE88H9B3YD33odRjFv8HfeliM0JKyBID5SlxScKrqkpbR7SBSqoFgF6c2-Yg-AUeF7KlMuN_ZyKBood5fRJ-m7lR54LvBGRKD2fLRV06K8M4hrEVuEOFCsqBA36b4Z8BOTA81ieMiQ2xRq-i0fDziLLxb9GmvonDjCyH0hM4nLlqtsQR34euvnSRg=w408-h271-k-no
37,2,Idun Hotel,"Jeollabuk-do, Wanju-gun, Iseo-myeon, Galsan-ri, 21-25 KR",0632374563,4.2,35.8376972,127.0578335,"checkin_time:5:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPljjyuJjE-HimhQ-X4M-jHwQeiPT1ZCPiCI9yZ=w408-h544-k-no
37,3,Neoulgaji,"Jeollabuk-do, Jeonju-si, Wansan-gu, Pungnammun 4-gil, 16-9 KR",01034118004,3.6,35.8140513,127.145732,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipPDCY1mpZ80L6CVJwiShN1B_ZXfa7h196a0_iTg=w408-h306-k-no
37,4,Avon Hotel Gunsan,"10 해망로, Jochon-dong, Gunsan-si, Jeollabuk-do",0637308000,4.2,35.9763479,126.7245913,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMLGGBml1SFFP0WfGqYjDdjxRUkjelkkyJeiKPo=w408-h272-k-no
37,5,Western Life Hotel,"Iksan-si, Yakchon-ro, 10 약촌로10길 18-3",0637203000,4.1,35.9507578,126.9764044,"checkin_time:2:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE3kcah17-HGirQaRt03I1N3wGtV2OSU2V6z6w5Xw0jac_YZxE7kOEvh9c6fu1nTKT6PSwHFAbDF5xcu1CcXsHo3hK4ibdCabtj_lq8NIfsY9fmv2jpxxZy0C5yitQjbyWqMEjhs8FSPoSxpPZWTDlUE_bSM1hUjCy7qveef3pvaoX6arnl60_7=w408-h272-k-no
37,6,Hotel 1945,"22-5 Bugok 4-gil, Gunsan-si, Jeollabuk-do",050714985201,4.1,35.962635,126.69033,"checkin_time:,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOVTkklNGwMRwwJpTJIMG7It4oW48BkLE61HKCl=w408-h408-k-no
37,7,Twins Hotel,"9 Inbuk-ro 6-gil, Iksan-si, Jeollabuk-do",0638431800,4.0,35.93076,126.950966,"checkin_time:,checkout_time:12:00 PM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
37,8,White Tourist Hotel,"501 Jeonjucheondong-ro, Deokjin-gu, Jeonju-si, Jeollabuk-do",0632710123,3.8,35.8371434,127.1309838,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGYHjov1R7UPZJQAe1BSYLm9vtZwGSJaXmvXm6OPg7_chWXt22wbFNmpwCdzKS6ihRHE4BSAeQKVSewIDyiO6bFhpdtIXZLBDF-smMkqcVNEfieF5oVwNMzc6h3UfdjF9_fIIv8-_yGKRhN5k7A9F64YMno3qPLDG5pYPQhuDcIgNqg8pdG0mojSA=w408-h272-k-no
37,9,Casa Mila Motel,"88 Hyeonchung-ro, Naun-dong, Gunsan-si, Jeollabuk-do",0634647755,3.2,35.9629743,126.689624,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipPwdwzG-jD5I-MeAR263d8VqNOK4HJCA8gkwxEF=w408-h306-k-no
37,10,Gunsan RG,"189, Chilseong-ro, Gunsan-s, Gunsan-si, Jeollabuk-do",0634672581,4.0,35.972044,126.679349,"checkin_time:,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMf15enJlwMqtVSbnQfKYxtOiBqBovV-sSBrUZh=w408-h306-k-no
37,11,Avenue Hotel,"872-7 Sanjeong-dong, Deokjin-gu, Jeonju-si, Jeollabuk-do",0632413200,3.9,35.8374801,127.1699538,"checkin_time:3:00 PM,checkout_time:1:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGmAKGaDrOUz3UM_-pn2dE4FOoB-WDsTdnOkXQ0cn8EH2gtjJnVQ1lzizY9_I6k_zRtJBDD-zppjgAweaRwaPlmdSd9MgmYWe81hr6TNPldrvSgwYR-bb_wfsXDHrUd0VpoNc1S9A5SMODqsmIl6grQ1tbLHFPnuyTPTETrObqZEMlQjxeQmiQ3=w408-h274-k-no
37,12,Hotel MARU,"Jeollabuk-do, Wanju-gun, Iseo-myeon, Galsan-ri, 21-17",0632290068,4.0,35.8371907,127.0578564,"checkin_time:,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipNGDcceocwUvA0Bab_YC_4xCUz6yeCmKzMZ0rNk=w408-h306-k-no
37,13,Haesilag,"113 Gunghang-ro, Byeonsan-myeon, Buan-gun, Jeollabuk-do",0635828700,4.2,35.6105397,126.4725764,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipMTvfF_iPBM9dJ1dcliEL7PHs0ShGcIUzKsjiYv=w408-h306-k-no
37,14,Best Western Plus Jeonju Hotel,"41 Hyeonmu 1-gil, Wansan-gu, Jeonju-si, Jeollabuk-do",0632317777,4.2,35.8222584,127.1470113,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGOQZtcpyHEXoL9yRzjsVY45faGzKDko3aQ2G7AfERlb-baDKH6GQTTKM73OsxvC3LIfLyCmg4oLb7wHPjhRKrThOQbV0x_i6388PbOK4_tB1kgv2HTCSA75dT-9Lv2ywF9-qbphwzv3QqLdDxvOYdKo60FWPqAmfqxx1jxt8sIDYYK9EcDQ-JfDA=w408-h257-k-no
37,15,Lahan Hotel Jeonju,"85 Girin-daero, Wansan-gu, Jeonju-si, Jeollabuk-do",0632327000,4.1,35.8170876,127.1540344,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHHv0Y3ibChdAd7SvAIskXq0NfQqZOrbauhWbQ2q-7nZWL-39GPlIbhs4kxfdQH3M5MzVFSOb3WyX-2tqGChre9hZLQaxjBK07MJqpvj1s1xkDQ_p8guw9pejxiOdr7DH87vvIGcUDAGRK5L_L8zdDSlmJOFqH15Oj1BbZnYtMq_vmrp8qFA2s=w408-h306-k-no
37,16,Gunsan Stay Hotel,"56 Cheolsae-ro, Seongsan-myeon, Gunsan-si, Jeollabuk-do",0634510055,4.6,36.0150256,126.7625248,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipOjMHcaa801FZGYXZQvptotNoM0KMVru9Oe8r28=w459-h240-k-no
37,17,White Tourist Hotel,"501 Jeonjucheondong-ro, Deokjin-gu, Jeonju-si, Jeollabuk-do",0632710123,3.8,35.8371434,127.1309838,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGYHjov1R7UPZJQAe1BSYLm9vtZwGSJaXmvXm6OPg7_chWXt22wbFNmpwCdzKS6ihRHE4BSAeQKVSewIDyiO6bFhpdtIXZLBDF-smMkqcVNEfieF5oVwNMzc6h3UfdjF9_fIIv8-_yGKRhN5k7A9F64YMno3qPLDG5pYPQhuDcIgNqg8pdG0mojSA=w408-h272-k-no
37,18,Jjammotel,"875-1 Sanjeong-dong, Deokjin-gu, Jeonju-si, Jeollabuk-do",0632455852,3.8,35.8378309,127.1706646,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipM5MOkSs9srxyjILkjHCtjnlmu7_W_11weWbSuF=w408-h306-k-no
37,19,Yechon Hanok Hotel,"17 Gwanghanbuk-ro, Namwon-si, Jeollabuk-do",0636368001,4.7,35.4047232,127.378669,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFDIWaiwEUHacljwb4xjDG6nercTVmjfjj_MvEQn7pMA4jTQ3iMBxk1C5C3iNG6JZkMVHDS2AsP_cL78o45q9PDHZQdMDUXCOKesKQv9hEd1NTHNbCUYElRYo-n1MmSb4oeLRoj09XUBUguI0KzSwmkpPTgEeDkE-0UWaGOOEHdKWP-_AVv-jSE=w408-h272-k-no
37,20,Kkot Jari Hanok Pension,"26-23 Choemyeonghui-gil, Wansan-gu, Jeonju-si, Jeollabuk-do",01047566542,4.4,35.816291,127.1511,"checkin_time:3:00 PM,checkout_time:10:00 AM",https://lh5.googleusercontent.com/p/AF1QipNftYsJWLRyAOKlHg5jhf86TxyO-dQep0hlb9f8=w493-h240-k-no
37,21,Hotel Davin,"160 Paldal-ro, Gyeongwon-dong 1(il)-ga, Wansan-gu, Jeonju-si, Jeollabuk-do",0632298000,4.2,35.8167442,127.1477456,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFX03nOmrHGgBdxyW8MFzJAtiTsOagUqm4axBrMhW4xJz0lfL8orxU3eqZe011j0Zl1BSsil4gpqDi-zGr3nQQBsH_p8ViQ9Z4YLN6PCrVIJItTy32E9dy-NPHEuib_R4lnsSKNOU6pjXt5nUR0d4G8hKVgD2UAty4rZ33OGMFmhzGSH4aavIk=w408-h612-k-no
37,22,Jeonju Tourist Hotel,"44-5 Jeonjugaeksa 5-gil, Wansan-gu, Jeonju-si, Jeollabuk-do",0632807700,3.6,35.820273,127.145526,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGOnqCaVWiOw0tWjRO98_SM2WVA8URfTolVLWNK4dkcY2N636bl7R_i3axC__6LuKLtXFGYJ9Iem2UkHF4RQBGm06FbEysfJcC98zp_QBRSqoL2DlIOHIaKC2TsFchBPyQF7Xj35WwKFr-VoIfji6JbUdgP6FJSPaiW5awqdoNPVAHHqlpFCIIXEA=w408-h306-k-no
37,23,New Alps Motel,Jeongeup,0635358199,3.6,35.5821784,126.8547251,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOmhwsgRZK8yMB00O_2g8A6wrxZnsglp9W5zDoH=w426-h240-k-no
37,24,SOUNDS HOTEL,"7-6 Handupyeong 3-gil, Wansan-gu, Jeonju-si, Jeollabuk-do",+61437777168,4.0,35.815093,127.12395,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFUIzMQkp85Do4Tq8RagHCIWwmfCSX1-JdkeMEHhsj9pNhhPPnottmYoG4hUEmVX6nSCo6arC-ysmRHA5lOhfSMV_6GqmrH5mHcJAeaegVmIDQWZPKKEjNhRpF7i8wpiajQifDGgX2FiNP0LBLDHsdgpu7LWE455sSy6Z_P6dOs9SmvzCHlNDuy=w408-h266-k-no
37,25,Hotel 2Night,"Jeollabuk-do, Jeonju-si, Deokjin-gu, Ajung 4-gil, 16 KR 투나잇호텔",0632419594,4.3,35.8305444,127.1734546,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGdWF7mA509ClIsOszHFzbgFq7jRzBmTYjDNBLhWY0Qf-xRDLN_gd9me5cnmsVopdttBWAAwa8MJbnTHCm8l7LnqxpXDimHlJPsE2_S6PxXcORK5LelVaKNOmO4J-7lFAFYpcFgNzu1b6IAkeikfJrjwlHO0Z-50G7VBCk2lmUD7JeCRCNkwNg=w408-h272-k-no
37,26,Top Cloud Hotel Iksan,"Jeollabuk-do, Iksan-si, si, Inhwa-dong 1(il)-ga, 183-1 탑클라우드호텔 익산점",0638537171,4.3,35.9302499,126.9497649,"checkin_time:3:00 PM,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhE7Qts7FsQ4udFf99AU4ic9Q6WqwDVnd4je_1zFitmTGz8EeIjqHEM4CfF3Zoyf-uxRK7MhkLG258W-oMM8fZsvP_BITFsO2A70M5YJNrSjdTXLPfSzYVjixUQ6IdY7n9vJDmwbZkKgtNTr162z5Jnd5NjitquMec1dQ7Ka5aAXatqGJ8SOcVwI=w408-h290-k-no
