areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
38,1,Ecograd Hotal,"234 Baekgang-ro, Suncheon-si, Jeollanam-do",0618110000,3.3,34.9539946,127.5217652,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdZRxxJ5vQ7yStxBWQzgfZt5cpooIRNkKi3DDVheeIMT4u-fEdM2UXWeiM5cnMbWOIK1-oIgPP29HOQcgEDvPRIRW3DzzxUTALlln9AC5hp8tEeeHifoRuwAvqRDQOFr9eWhsHyKCj2F4zDq0547E3TmG8LyGpmYUHboVrsgRy7FUhJr43n0Wt=w408-h265-k-no
38,2,Moiri Guesthouse,"11-17 Bongsannam 6-gil, Bongsan-dong, Yeosu-si, Jeollanam-do",01092413713,3.2,34.734368,127.7248222,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG7taHa-xqBhMYUAQFrhmjzzdOVU2aKaCfpZUy5I7X1Fcog972SwORCTNtDavAKMqM9M6N9NcArAM-TfuiRq1IxYlCjZEpCKdo-6m8dRu07LtKwPs5_RgKuBfx2S4nV55abud-mN0crdcL4TQrpIHuUEJz8smhTxqJm9oVWvgivz7aGKOTwvb1f=w408-h615-k-no
38,3,B&F Hotel,"176-10 Hak-dong, Yeosu-si, Jeollanam-do",0616841881,3.9,34.7573617,127.6634631,"checkin_time:5:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHvTnQqCPr1jw0YoH3H92vl-LugJS5HCFIRrAA4MuTBdFiiez5KUDD1r5sxPFbqW7DleNLwwydI9o8hET81oO8cTC5wpwcO_r5LSRnY2LOyNtq_qc8IIjQamVeMP3YhQaTTrBxWnDTfxMwPOmznP3rH1Ce8mF1cLBZe1xbPaBXxBLKT-i-fJTXOfg=w427-h240-k-no
38,4,The pension and hostel I stayed at,"Jeollanam-do, Yeosu-si, Jonghwa-dong, 번지 3호 613-1 KR 4층",0616662700,3.9,34.7384735,127.7460023,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGGch2l1f9_nypFCcH5RxFt2Rpyp6fG2APeqpHmHsfKOg3_rVe5hsevQbEitWteEV2J23_BuBG7ZLfiHYVHBg10O6vX8ilJL-WKVbZChFOn76OnbaPBHFPIcbIDNt0xjgxLiCtwFKRvC60Rs7bBW_DdKnIsdLkNxGRCtEGXo0sZEKxDROSaTEFwMQ=w408-h271-k-no
38,5,AYANA HOTEL,"102 Tongil-daero, Mokpo-si, Jeollanam-do",0612828600,4.5,34.8012541,126.4349754,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh5.googleusercontent.com/p/AF1QipN7F-6aQIUMtRwaKFzHCvK8bRN1oQCIlBibRXLh=w408-h306-k-no
38,6,H.S Tourist Hotel,"74 Odongdo-ro, 한려동 Yeosu-si, Jeollanam-do",0616629996,3.5,34.743201,127.7499511,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHMe-3NLyfldGyrGjN2kr2fjnzxnEqyuYxRqIPV8CEHrP9gmDQB6jIQzMzaaopJcYy74zaaZVlIP19HavQM5hrr4iYadXe05hHwvlzIuovAq6AgfyGiqZezwoNy07DZ4-Q2z-zr68SIpHbnTKllAslECVntB79dK-_SzeK9rkiFCwJObvQfdc3Qkg=w408-h612-k-no
38,7,Shilla Stay Yeosu,"8 Sujeong 3-gil, Yeosu-si, Jeollanam-do",0619245300,4.5,34.744233,127.748576,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHjuWsfO2dyMdikuLCJYJouiETUwE4TTuIFOrye2lya6HsWGCPbVbv0D3zRu2bwrVWOP-gZBlLI_Uzaeoh4pMQLTa0ZVJajOZ0ZMhyTmelLtO_YPGv3lLjKi0R-a1lReURwwn2HaHKAAxdVubOqmhNVJwKCoJ2G1eC4BWL0sTETBPql3Owwh-_W2g=w408-h270-k-no
38,8,Jangseong J,"148 Yeokjeon-ro, Jangseong-eup, Jangseong-gun, Jeollanam-do",050350511972,3.0,35.3054172,126.7814103,"checkin_time:,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGr3hMngbto3LPbViWbtA6oww-U76fBZ5f4JkZG7qD8JWGrQccjhQzW8b6VhinuTB3XFg6dv6qDqarnHqxs5LkdT28V6ngrcv2QNLTqWzFG5QJKAyL0eWcCEFJYwxZ8sd09yD15-wVXxP7mTcQYU6Ed-xYAXUvVkEdsZ2KcWZC41bKMZqlIcRis=w408-h254-k-no
38,9,Hotel YAM,"19 Geobukseongongwon 2-gil, Yeosu-si, Jeollanam-do",0616822696,4.0,34.7610427,127.6654974,"checkin_time:4:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPZL1RxCgXBcuYl2-eqU7uwJJ8MZqxqCaDdShyF=w408-h544-k-no
38,10,Urbanstay Yeosu Ocean Hill,"81 Gangnamhaean-ro, Dolsan-eup, Yeosu-si, Jeollanam-do",0616405600,4.3,34.7186643,127.7463758,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHVjJvPhP8tPGjwEKFSY0MRKjpUos3vX6ypQ9tyAH-TXOPlXwwGtPS7JitonW0YIR8bzNq6d9ao45E3h2rCpvtcc-LSTl_imZwRN2SXwR0Fh_n33L16uocCvR9HUBv_EoMpnO7bEgpAxzk58MCGNg1zdFciSHT1NGimUnOqllNDgAGidDwdPCzO=w408-h287-k-no
