areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
1,1,Hotel The Artist Yeoksam,"678-13 Yeoksam-dong, Gangnam District, Seoul",025523950,4.0,37.50236,127.03845,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHmV1Lzw_jQsDlgT5Lzimu3xmz0jsUOPaQ2vxfAbeoLeBmsFq8RFmOrp3p0REhaRBhfHPmDj9Iu_w61hyFcO_iZJ3Ix6FUOR7fyNxsU21SNa1KYJ-VS6WqBKIi52TjTOiv2FSEsqy58vpOAn8JZfuoAjdk2MUUbeDBrEXzMM_3VHAY-86XeT5cx=w408-h254-k-no
1,2,Premier Hotel XYM,"3-12 Teheran-ro 28-gil, Yeoksam-dong, Gangnam District, Seoul",025536333,3.9,37.5009918,127.0396355,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipP73Hw9N3i3R6oZVI6Ko3acwudcLbbKk9j-UFmx=w408-h544-k-no
1,3,Hotel Millhaus,"5 Yonsei-ro 2na-gil, Seodaemun-gu, Seoul",023137050,4.1,37.556243,126.9377286,"checkin_time:10:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipNzVTbX5iyLuMYkUCzERQ6gUfm-En5aP3y7B18x=w408-h271-k-no
1,4,Nine Tree Hotel Dongdaemun,"224 Eulji-ro, Jung District, Seoul",0269264099,4.5,37.566621,127.0029875,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipPD0fDFgrcySmuSFhZve8vyZ3juioVTbDu4cLJF=w408-h272-k-no
1,5,Fraser Place Namdaemun Seoul,"58 Sejong-daero, Jung District, Seoul",0220980888,4.3,37.5613761,126.9764287,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGgncrJdu_AwpYiHDiFEvzjcEQ6Y0fv5Sk7HGL5nNf-KKds_TzeUNvxvviq89Mv7h3_sVkRnMVHrDOl9GAQd1iQHytKhEPU-I1yMvdhWfANzku3ge0Zbu0d4lieejqFn0Z0rnaBkSsZpxhlU4M48h5E_R4gEZ78CHIokBw0RZZjpI7k8uB97A2_QQ=w408-h271-k-no
1,6,Hotel K World,"90 Dongil-ro, Gwangjin District, Seoul",024651141,4.1,37.5405426,127.0634525,"checkin_time:10:00 PM,checkout_time:1:00 PM",https://lh5.googleusercontent.com/p/AF1QipPLsv0xjnobInm3fUsWw5e437mmPyvlagEDy0ku=w408-h272-k-no
1,7,THE MAY HOTEL,"10 Supyo-ro 26-gil, Donui-dong, Jongno District, Seoul",027668690,4.3,37.5719068,126.9895624,"checkin_time:3:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGogCzAj2i7AnD2wXLUTlKbq-DE32TiFfDbK4i1ar6inaAZwPXUtfoxsxR8tyC82m2gqyBl6COHar5DV9CoInnB7R3YlPSD-RhfhNgv9BmikHTZCeMy9vSWjOYLGnDHpWoQYF25ZjpISyyzLirwj8TubkkxlH4hRKAkvcBB9RCREsLrGEl6k4_x_g=w408-h257-k-no
1,8,Hotel GMS,"867 Gyeongin-ro, Yeongdeungpo District, Seoul",028822000,4.2,37.5173497,126.9088962,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHp5poxSY-D5DHhud3NLohAHgm9JWI-7ZIgmltdbEVUO7S0X8kEx3kn36JIvIuVB6Bn1gY6c2QygO2V2t6GNmmxa3mEUXYNPxD6VO0DUeJNAMmstswtSeP-YagwX4SeRE4RTz4FwSic7HN_lGBw2leLcELWhrtOE-ozY_qxGfmaDgyW062eYBHx=w408-h306-k-no
1,9,Rich Diamond Hotel,Seoul,029059131,3.9,37.6477699,127.0156196,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHFR1T29OkX01vlmpwlybADI2M5s1bOVJpBBm04soRWDqdZfPb9FNUd0ZEceatAZGTvYOUtKQ-OxF6RA-Enyvjr9dZJ7fU_FDAGDEhfhLupven4z13flZEOztDiFBCWI_buCF-E2xWtVuUaDWBdy-xxNELtl7R_JKMbf2cMvcZ8AxgXNW3JU3I=w459-h240-k-no
1,10,Vista Walkerhill Seoul,"177 Walkerhill-ro, Gwangjin District, Seoul",024555000,4.6,37.5543699,127.1112096,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipMOUHpHVxdyaYH3_JD3e4mTxW2XmJH4f5Oz4Wg=w408-h350-k-no
