areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
7,1,No.25 Hotel,"14 Samsan-ro 67beon-gil, Nam-gu, Ulsan",0522728901,3.6,35.5353039,129.3155912,"checkin_time:,checkout_time:",https://lh3.googleusercontent.com/gps-proxy/ALd4DhH-r9NAJNOT5oI0P2WUz3oKwcmLmVrpDNU_OW-Rq-VAaF_FxtU3InEvzP3Qc_X-eIbwL3ORs4JxmyfXjdZlZMS2Qo7ad0ESbz-r78a-Kyqs606uR--rpA1Pf6EmLaGjKcwYELOTBuyBo0YVRxCgYueLAYQNa16FMybGUv68oxYmvundqDlg0jFV=w408-h272-k-no
7,2,Bulls Glamping,"26-50 Amisanmot-gil, Duseo-myeon, Ulju-gun, Ulsan",01049969703,3.0,35.6821633,129.1606751,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipNMHcGFdeiQRrinUZf2I9c8z12azO2xDfNnv9U-=w408-h306-k-no
7,3,STAZ Hotel Ulsan,"Ulsan, Nam-gu, Namjung-ro, 65 스타즈 호텔",07086859361,4.2,35.5401656,129.3473995,"checkin_time:4:00 PM,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHelmjRkEv-c5Q6bR58M5Lw23yB3cZmThTAxzKBKT7Ks7lPes4TD1vUVvobZweTCOP9Hs6DlUIZtd8lalpUYiUPfA8uo9De0WBhyS3BLC6zJmCwcL_dKzjRBioIVgtG5GLgPr8CXkaP-as-9_iTsDppZxJeY_yoHUgqLh8xxehN45HcyClbXFaB=w408-h272-k-no
7,4,Yeoubi Hotel Ulsan,"44716, 14 Saneop-ro 647beon-gil, Nam-gu, Ulsan",0522677777,4.2,35.5392993,129.3494609,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHkc6vf0PW4wGiAEzMaBGCWBDP2YZF4IfJk-l5YBrhvdBZ32WyOx8rRtjRE4jPNcckJwhIs2PG7f_xdShOpYIKFhH5rELghXKo2vKlnQ6G_dfBBz_OEGXCk4SY3QkY0LE9wGXEHoX3J307TO_VM8VdgyDShxOonoevMMeyU-ddIC-L1xzo2Qf4H=w408-h558-k-no
7,5,Design T Ulsan,"7, Samsan-ro 383beon-gil, Nam-gu, Ulsan",0522749966,3.5,35.540485,129.34862,"checkin_time:5:00 PM,checkout_time:1:00 PM",https://lh5.googleusercontent.com/p/AF1QipNamFSRfStCukzI40rqaQFUApJFuUjrr-OZ7YkA=w408-h839-k-no
7,6,French Code Motel,Ulsan,05250550747,4.0,35.4936154,129.4290582,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipOM5EilFh8FtAQrmIv3dODJlzpplHrZB4iBtg_y=w426-h240-k-no
7,7,Hotel Riverside,"20 Jeolmeumui-geori, Jung-gu, Ulsan",0529560100,4.5,35.5532545,129.3176829,"checkin_time:3:00 PM,checkout_time:12:00 PM",https://lh5.googleusercontent.com/p/AF1QipNZb-WpQmxf_CeyFN5rzTwOLvsAMM5-izPRn5wj=w408-h255-k-no
7,8,Brown Dot Hotel Jeongja Beach,"Ulsan, Buk-gu, 산음10길 23-4",0522658000,4.5,35.6286564,129.4406001,"checkin_time:,checkout_time:11:00 AM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGcOxHzCSoNu_ezCeM8ndyUSw7LHy1cFLvEWpeR9Ywu5r81xmayMSzZ_JouxkHE24NYWzvA2dcBBLITdRl3hr9ZqgIiA7K6qZbPVutRubtpZ1xZbeMcOdAwJu43m99tQvNMqVZiHTTJZ7LZduTAEQb9lYboAEMStlOj5ldRwsDeH45RdjbX3NOn=w408-h305-k-no
7,9,Wind Hill Hotel,"977-5 Ilsan-dong, Dong-gu, Ulsan",0522520243,4.2,35.490979,129.4317493,"checkin_time:,checkout_time:",https://lh5.googleusercontent.com/p/AF1QipO_p37eOQGr83v_KG5e0xE584PzOE96sRG67zNH=w408-h816-k-no
7,10,Jade Hotel,"Ulsan, Ulju-gun, Samnam-myeon, 44, Doho 1-gil",0522541552,4.1,35.5468907,129.1390656,"checkin_time:,checkout_time:12:00 PM",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHkOK1NI8MpBOFGYlg3J5PCce1zKiG5lQ9rcUGoaogZUJ_2rZVJlSEulvY9rLSQQff9MHiB0acI-Dgu67ulz22iRJEvkZJ1x4N8cfRBI6c2N7PbiFSvPA6yC6gQmX7xu0jDhvD6wZkTFZw3u8r8q3u2n_OPQZDV991G9cC4uSqGj-aegNUnCLhymw=w408-h271-k-no
