areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
33,1,원조고추만두국집,"61 Sajik-daero 350beon-gil, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",No Phone Number,4.4,36.6338401,127.4865014,['No Business Hours Available'],https://lh5.googleusercontent.com/p/AF1QipNSPL9gKL3glT6_Ynj44ol5Mj-10kbWRzV8M9d_=w426-h240-k-no
33,2,경주집 버섯찌개,"180-12 Seomun-dong, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",0432216523,4.3,36.6328796,127.4855853,"['Sunday, 9\u202fAM to 7:30\u202fPM', 'Monday, Closed', 'Tuesday, 9\u202fAM to 7:30\u202fPM', 'Wednesday, 9\u202fAM to 7:30\u202fPM', 'Thursday, 9\u202fAM to 7:30\u202fPM', 'Friday, 9\u202fAM to 7:30\u202fPM', 'Saturday, 9\u202fAM to 7:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPbwq0z98h3K66SZ0q_9IrdDVP8DRuz5g4_sv-A=w408-h724-k-no
33,3,극동반점,"93-3 Yeong-dong, Sangdang-gu, Cheongju-si, Chungcheongbuk-do",0432564074,3.9,36.6391558,127.4865804,"['Sunday, 5 to 9\u202fAM, 11:30\u202fAM to 3\u202fPM', 'Monday, 5 to 9\u202fPM, 11:30\u202fPM to 12\u202fAM', 'Tuesday, 5 to 9\u202fPM, 11:30\u202fPM to 12\u202fAM', 'Wednesday, 5 to 9\u202fPM, 11:30\u202fPM to 12\u202fAM', 'Thursday, 5 to 9\u202fPM, 11:30\u202fPM to 12\u202fAM', 'Friday, 5 to 9\u202fPM, 11:30\u202fPM to 12\u202fAM', 'Saturday, 5 to 9\u202fAM, 11:30\u202fAM to 3\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOLK1bhAfFutuJ5WywL7_ieE5K25mEfaquI0Gmf=w408-h306-k-no
33,4,묵방골정원,"515 Chungcheong-daero, Naesu-eup, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do",050713253353,4.1,36.6939706,127.5189447,"['Sunday, 10\u202fAM to 9\u202fPM', 'Monday, 10\u202fAM to 9\u202fPM', 'Tuesday, 10\u202fAM to 9\u202fPM', 'Wednesday, 10\u202fAM to 9\u202fPM', 'Thursday, 10\u202fAM to 9\u202fPM', 'Friday, 10\u202fAM to 9\u202fPM', 'Saturday, 10\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNl6mKuc352FU_k9aE4ryVyijXeySYRHeYUeFZW=w513-h240-k-no
33,5,리정식당,"297-12 내덕1동 Sangdang-gu, Cheongju-si, Chungcheongbuk-do",0432548947,4.2,36.6544444,127.4866667,"['Sunday, Closed', 'Monday, 8\u202fAM to 9:30\u202fPM', 'Tuesday, 8\u202fAM to 9:30\u202fPM', 'Wednesday, 8\u202fAM to 9:30\u202fPM', 'Thursday, 8\u202fAM to 9:30\u202fPM', 'Friday, 8\u202fAM to 9:30\u202fPM', 'Saturday, 8\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMfDAfC2jn0LGw8tVq5qj9Fdf18dDlF6X1d1PH3=w408-h326-k-no
33,6,괴산매운탕,"100-6 Daedeok-ri, Goesan-eup, Goesan-gun, Chungcheongbuk-do",0438322838,4.1,36.8059675,127.8174464,"['Sunday, 9\u202fAM to 9\u202fPM', 'Monday, 9\u202fAM to 9\u202fPM', 'Tuesday, 9\u202fAM to 9\u202fPM', 'Wednesday, 9\u202fAM to 9\u202fPM', 'Thursday, 9\u202fAM to 9\u202fPM', 'Friday, 9\u202fAM to 9\u202fPM', 'Saturday, 9\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNL_SsEsZoNHbz9_d1BfXT9oFj2X-ozCAAiPH3t=w426-h240-k-no
33,7,새울목오리탕,"325-3 Sin-gye-ri, Iwol-myeon, Jincheon-gun, Chungcheongbuk-do",0435368419,4.4,36.9416465,127.4096396,"['Sunday, 10:30\u202fAM to 9\u202fPM', 'Monday, 10:30\u202fAM to 9\u202fPM', 'Tuesday, 10:30\u202fAM to 9\u202fPM', 'Wednesday, 10:30\u202fAM to 9\u202fPM', 'Thursday, 10:30\u202fAM to 9\u202fPM', 'Friday, 10:30\u202fAM to 9\u202fPM', 'Saturday, 10:30\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPIODei1KZQQSRo2UB-WAfSBdmp7t--vfoI_P-x=w426-h240-k-no
33,8,사또가든,"93 Hwasan-ri, Ochang-eup, Cheongwon-gun, Chungcheongbuk-do",0432125094,4.1,36.7223949,127.3889533,"['Sunday, 10:30\u202fAM to 9:30\u202fPM', 'Monday, 10:30\u202fAM to 9:30\u202fPM', 'Tuesday, 10:30\u202fAM to 9:30\u202fPM', 'Wednesday, 10:30\u202fAM to 9:30\u202fPM', 'Thursday, 10:30\u202fAM to 9:30\u202fPM', 'Friday, 10:30\u202fAM to 9:30\u202fPM', 'Saturday, 10:30\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMqp5X7nKgaet1OfTysxt7Y696rlVWgrMOfU9Qo=w408-h306-k-no
33,9,Vanuatu Bakery Cafe,"29 Jukcheon-ro 79beon-gil, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",0432360788,4.3,36.6394465,127.4313732,"['Sunday, 8\u202fAM to 10:30\u202fPM', 'Monday, 8\u202fAM to 10:30\u202fPM', 'Tuesday, 8\u202fAM to 10:30\u202fPM', 'Wednesday, 8\u202fAM to 10:30\u202fPM', 'Thursday, 8\u202fAM to 10:30\u202fPM', 'Friday, 8\u202fAM to 10:30\u202fPM', 'Saturday, 8\u202fAM to 10:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNb5ZHA93Pgt0YsL4W3-GJ9Mhe4HrSwP8p7l6Mn=w408-h306-k-no
33,10,Sushi Kitai(스시키타이),"Chungcheongbuk-do, Cheongju-si, Heungdeok-gu, Jinjae-ro 109beon-gil, 15 스시키타이 라온빌딩 4층",0432364124,4.3,36.6410747,127.4303162,"['Sunday, Closed', 'Monday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM', 'Tuesday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM', 'Wednesday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM', 'Thursday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM', 'Friday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM', 'Saturday, 12\u202fAM to 2:30\u202fPM, 6 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNEj0diLgTK8l0Xh0pDNOeje1xwkb-INUuME9H_=w408-h306-k-no
