areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
4,1,윤옥연할매떡볶이 본점,"11 Deulan-ro 77-gil, Suseong District, Daegu",0537567597,4.0,35.8645484,128.6170305,['No Business Hours Available'],https://lh5.googleusercontent.com/p/AF1QipMh1qBIxEH-5hT3Ke0gYMvmdYzA8fi3jxAxQ2bX=w408-h306-k-no
4,2,Tae Neung-jib,"86 Dalseong-ro 22-gil, Jung-gu, Daegu",0532521817,3.9,35.8744864,128.5867986,"['Saturday, 4:30\u202fPM to 3:30\u202fAM', 'Sunday, 4:30\u202fPM to 3:30\u202fAM', 'Monday, 4:30\u202fPM to 3:30\u202fAM', 'Tuesday, Closed', 'Wednesday, 4:30\u202fPM to 3:30\u202fAM', 'Thursday, 4:30\u202fPM to 3:30\u202fAM', 'Friday, 4:30\u202fPM to 3:30\u202fAM.']",https://lh5.googleusercontent.com/p/AF1QipPtpXmx4xTaK9FZAnpzIbGYUJl9ilrQXX218KT7=w426-h240-k-no
4,3,온달포장&온달포차 삼덕본점,"134 Samdeok-dong 2(i)-ga, Jung-gu, Daegu",0534219490,4.1,35.8666667,128.6008333,['No Business Hours Available'],https://lh5.googleusercontent.com/p/AF1QipMK4JjNZmhO9sx2xHBBVzzzs1gLreAn8T2z63k_=w426-h240-k-no
4,4,복주소막창,"912-13 Namsan-dong, Jung-gu, Daegu",0534225821,4.1,35.8641632,128.5945819,"['Sunday, Closed', 'Monday, 5 to 11\u202fPM', 'Tuesday, 5 to 11\u202fPM', 'Wednesday, 5 to 11\u202fPM', 'Thursday, 5 to 11\u202fPM', 'Friday, 5 to 11\u202fPM', 'Saturday, 5 to 11\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMKFWhzwfTUs8c6Ho6ceRnd2iYz2-yOf0EhS0OV=w408-h544-k-no
4,5,Daedong Chinese Restaurant,"49 Daehyeonnam-ro, Daehyeon-dong, Buk-gu, Daegu",0539594978,4.1,35.8824821,128.6079128,"['Sunday, Closed', 'Monday, 11:30\u202fAM to 8\u202fPM', 'Tuesday, 11:30\u202fAM to 8\u202fPM', 'Wednesday, 11:30\u202fAM to 8\u202fPM', 'Thursday, 11:30\u202fAM to 8\u202fPM', 'Friday, 11:30\u202fAM to 8\u202fPM', 'Saturday, 11:30\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipN1G3HKGCEKU-Y2cJIXIm9xaTP96QriGVCveDR1=w408-h306-k-no
4,6,스시 해리,"151-5 Beomeocheon-ro, Suseong-dong 4(sa)-ga, Suseong District, Daegu",0537441002,4.2,35.8603279,128.6216813,"['Sunday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM', 'Monday, Closed', 'Tuesday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM', 'Wednesday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM', 'Thursday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM', 'Friday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM', 'Saturday, 11\u202fAM to 2:19\u202fPM, 6 to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOxG6heyc-h2uZhAvtEunjTYXwaDdxaNQQoPrFW=w408-h306-k-no
4,7,미진삼겹살,"28-2 Samdeok-dong 2(i)-ga, Jung-gu, Daegu",0532156969,4.3,35.8668283,128.6014837,"['Sunday, 4\u202fPM to 1\u202fAM', 'Monday, 4\u202fPM to 1\u202fAM', 'Tuesday, 4\u202fPM to 1\u202fAM', 'Wednesday, 4\u202fPM to 1\u202fAM', 'Thursday, 4\u202fPM to 1\u202fAM', 'Friday, 4\u202fPM to 1\u202fAM', 'Saturday, 4\u202fPM to 1\u202fAM.']",https://lh5.googleusercontent.com/p/AF1QipNx44Aom_ThW7loKcFhwwT-4dTT6JtnTvyKKvd6=w408-h306-k-no
4,8,Jungang Tteokbokki,"81 Dongseong-ro 2-gil, Jung-gu, Daegu",0534247692,3.7,35.8695028,128.5970472,"['Sunday, Closed', 'Monday, 11\u202fAM to 7\u202fPM', 'Tuesday, 11\u202fAM to 7\u202fPM', 'Wednesday, 11\u202fAM to 7\u202fPM', 'Thursday, 11\u202fAM to 7\u202fPM', 'Friday, 11\u202fAM to 7\u202fPM', 'Saturday, 11\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM92_h1qfcZ0obDeGjkbf-a2wwRXgK93o5a08zq=w426-h240-k-no
4,9,Hwangtteok Main Branch,Daegu,0537413261,4.5,35.8686045,128.6083339,"['Sunday, Closed', 'Monday, 11\u202fAM to 10\u202fPM', 'Tuesday, 11\u202fAM to 10\u202fPM', 'Wednesday, 11\u202fAM to 10\u202fPM', 'Thursday, 11\u202fAM to 10\u202fPM', 'Friday, 11\u202fAM to 10\u202fPM', 'Saturday, 11\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOlbXQGKLHSYouVCZurjAJPUUJ-me6o7zTXlQLm=w513-h240-k-no
4,10,동곡할매손칼국수,"97-5 Dalgubeol-daero 55-gil, Habin-myeon, Dalseong-gun, Daegu",0535820278,3.6,35.8779348,128.417786,"['Sunday, 10:30\u202fAM to 8:30\u202fPM', 'Monday, 10:30\u202fAM to 8:30\u202fPM', 'Tuesday, 10:30\u202fAM to 8:30\u202fPM', 'Wednesday, 10:30\u202fAM to 8:30\u202fPM', 'Thursday, 10:30\u202fAM to 8:30\u202fPM', 'Friday, 10:30\u202fAM to 8:30\u202fPM', 'Saturday, 10:30\u202fAM to 8:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipO-rQ-WnCT5PjM4BC8JsmmbUx4JB9Kyx1ZiSME=w408-h306-k-no
