areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
3,1,천리집,"127 Sinseongnam-ro, Yuseong District, Daejeon",0428643880,4.3,36.3918008,127.3511833,"['Sunday, 6:30\u202fAM to 9:30\u202fPM', 'Monday, 6:30\u202fAM to 10\u202fPM', 'Tuesday, 6:30\u202fAM to 10\u202fPM', 'Wednesday, 6:30\u202fAM to 10\u202fPM', 'Thursday, 6:30\u202fAM to 10\u202fPM', 'Friday, 6:30\u202fAM to 10\u202fPM', 'Saturday, 6:30\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNzC_mrPGZtcEA7Oi17MdSpMnFG74vKackeGt5I=w408-h408-k-no
3,2,삼대째전통칼국수,"30-23 Jeong-dong, Dong-gu, Daejeon",0422575432,4.3,36.3325596,127.430887,"['Sunday, 9\u202fAM to 8:30\u202fPM', 'Monday, 9\u202fAM to 8:30\u202fPM', 'Tuesday, 9\u202fAM to 8:30\u202fPM', 'Wednesday, 9\u202fAM to 8:30\u202fPM', 'Thursday, 9\u202fAM to 8:30\u202fPM', 'Friday, 9\u202fAM to 8:30\u202fPM', 'Saturday, 9\u202fAM to 8:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipN_zyqtJer0GsuarsakOhToAQgjukoGurtzBitq=w427-h240-k-no
3,3,칼국수만드는사람들,"20 Dunsanjung-ro 78beon-gil, Seo-gu, Daejeon",0424778254,4.0,36.353245,127.3879357,"['Sunday, 11:30\u202fAM to 9:30\u202fPM', 'Monday, 11:30\u202fAM to 9:30\u202fPM', 'Tuesday, 11:30\u202fAM to 9:30\u202fPM', 'Wednesday, 11:30\u202fAM to 9:30\u202fPM', 'Thursday, 11:30\u202fAM to 9:30\u202fPM', 'Friday, 11:30\u202fAM to 9:30\u202fPM', 'Saturday, 11:30\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipN5QRIKHyrt6TkMWXfIYGwGUWs8Pv_dj8k0lsoT=w408-h306-k-no
3,4,Moru Brunch Cafe Dunsan,"1202 Dunsan-dong, Seo-gu, Daejeon",0424862201,4.1,36.3494312,127.3781978,"['Sunday, 10:30\u202fAM to 3:30\u202fPM, 6 to 10:30\u202fPM', 'Monday, Closed', 'Tuesday, 10:30\u202fAM to 3:30\u202fPM, 6 to 10:30\u202fPM', 'Wednesday, 10:30\u202fAM to 3:30\u202fPM, 6 to 10:30\u202fPM', 'Thursday, 10:30\u202fAM to 3:30\u202fPM', 'Friday, 10:30\u202fAM to 3:30\u202fPM, 6 to 10:30\u202fPM', 'Saturday, 10:30\u202fAM to 3:30\u202fPM, 6 to 10:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOQM1EqcMjem5thyzMDjJO4Dz2vlyPHGN3A-Rm7=w426-h240-k-no
3,5,Magjangjib,"367-17번지 Seonhwa-dong, Jung-gu, Daejeon",No Phone Number,4.0,36.3280573,127.4181193,"['Sunday, 11\u202fAM to 9\u202fPM', 'Monday, 4 to 9\u202fPM', 'Tuesday, 11\u202fAM to 9\u202fPM', 'Wednesday, 11\u202fAM to 9\u202fPM', 'Thursday, 11\u202fAM to 9\u202fPM', 'Friday, 11\u202fAM to 9\u202fPM', 'Saturday, 11\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMTM5j892J_yAF2as1JwABjqMvKjanC23OnAPNp=w408-h306-k-no
3,6,월산본가,"181-10 Daeheung-dong, Jung-gu, Daejeon",0422564100,3.8,36.3252768,127.4274882,"['Sunday, 11:30\u202fAM to 9\u202fPM', 'Monday, 11:30\u202fAM to 10\u202fPM', 'Tuesday, 11:30\u202fAM to 10\u202fPM', 'Wednesday, 11:30\u202fAM to 10\u202fPM', 'Thursday, 11:30\u202fAM to 10\u202fPM', 'Friday, 11:30\u202fAM to 10\u202fPM', 'Saturday, 11:30\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM8LYTR_HQT6JgLd9FhyXbG0wdb-afI1t7X2yAa=w426-h240-k-no
3,7,한가네닭발집,"26 Jungang-ro 121beon-gil, Jung-gu, Daejeon",0422559340,3.5,36.3289672,127.422905,"['Saturday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Sunday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Monday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Tuesday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Wednesday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Thursday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM', 'Friday, 12 to 6\u202fAM, 4\u202fPM to 12\u202fAM.']",https://lh5.googleusercontent.com/p/AF1QipP7wKUHLIBmiSgHZZRXUss1_XAM_dqxgo1OufkF=w426-h240-k-no
3,8,스시호산,"Daejeon, Seo-gu, Daedeok-daero, 366 해가든센트럴파크 1층",0424820053,4.8,36.3654656,127.3800195,"['Sunday, Closed', 'Monday, Closed', 'Tuesday, 7 to 10\u202fPM', 'Wednesday, 7 to 10\u202fPM', 'Thursday, 7 to 10\u202fPM', 'Friday, Closed', 'Saturday, Closed.']",https://lh5.googleusercontent.com/p/AF1QipP_7eAFebwUN-4ypbD6sPvrBRwlf5kNxJyi6gux=w408-h408-k-no
3,9,Langman,"22-28 Wondoan-ro 179beon-gil, Seo-gu, Daejeon",01024676113,4.3,36.320597,127.3428304,"['Sunday, 11\u202fAM to 9\u202fPM', 'Monday, 11\u202fAM to 9\u202fPM', 'Tuesday, Closed', 'Wednesday, 11\u202fAM to 9\u202fPM', 'Thursday, 11\u202fAM to 9\u202fPM', 'Friday, 11\u202fAM to 9\u202fPM', 'Saturday, 11\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNNpHCxelbNdjAoSkF4AerugLW74Qzg7xDUceI=w408-h544-k-no
3,10,Meshihosan,"3-1 Doryong-dong, Yuseong District, Daejeon",No Phone Number,4.3,36.3747806,127.3806864,"['Sunday, 11:30\u202fAM to 9:30\u202fPM', 'Monday, 11:30\u202fAM to 9:30\u202fPM', 'Tuesday, 11:30\u202fAM to 9:30\u202fPM', 'Wednesday, 11:30\u202fAM to 9:30\u202fPM', 'Thursday, 11:30\u202fAM to 9:30\u202fPM', 'Friday, 11:30\u202fAM to 9:30\u202fPM', 'Saturday, 11:30\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPwbv-rEcnYGYhtaCmWfdrrqJwddmv1LIFNk0O6=w408-h306-k-no
