areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
31,1,Pyeonggaok Bundang Branch,"9 Neuti-ro 51beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do",0317861571,3.8,37.3695411,127.1100772,"['Sunday, 11\u202fAM to 10\u202fPM', 'Monday, 11\u202fAM to 10\u202fPM', 'Tuesday, 11\u202fAM to 10\u202fPM', 'Wednesday, 11\u202fAM to 10\u202fPM', 'Thursday, 11\u202fAM to 10\u202fPM', 'Friday, 11\u202fAM to 10\u202fPM', 'Saturday, 11\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNJf5AFgZ5JVhbeIeGK-Mp5n9JXNs4txKnSrzy6=w408-h306-k-no
31,2,Bonsuwon Galbi,"41 Jungbu-daero 223beon-gil, Paldal-gu, Suwon-si, Gyeonggi-do",0312118434,3.9,37.2781201,127.0405091,"['Sunday, 11:30\u202fAM to 9\u202fPM', 'Monday, 11:30\u202fAM to 9\u202fPM', 'Tuesday, 11:30\u202fAM to 9\u202fPM', 'Wednesday, 11:30\u202fAM to 9\u202fPM', 'Thursday, 11:30\u202fAM to 9\u202fPM', 'Friday, 11:30\u202fAM to 9\u202fPM', 'Saturday, 11:30\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipO7Kecxu7Qd8Dc5xG93eBudQs4FG7ZcuzNCZP3l=w408-h544-k-no
31,3,수레실가든,"647 Neungpyeong-ri, Opo-eup, Gwangju-si, Gyeonggi-do",0317185292,4.1,37.3463889,127.1541667,"['Sunday, 11:30\u202fAM to 10\u202fPM', 'Monday, 11:30\u202fAM to 10\u202fPM', 'Tuesday, 11:30\u202fAM to 10\u202fPM', 'Wednesday, 11:30\u202fAM to 10\u202fPM', 'Thursday, 11:30\u202fAM to 10\u202fPM', 'Friday, 11:30\u202fAM to 10\u202fPM', 'Saturday, 11:30\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM6HJUFGW_KUnUi20kcB4PnTadw9aq7MXo6cOGN=w408-h544-k-no
31,4,산타루치아,"Gyeonggi-do, Anyang-si, Dongan-gu, Simin-daero, 230 KR B동 42층 KR 평촌아크로타워",0314447000,4.3,37.3922951,126.9568892,['No Business Hours Available'],https://lh5.googleusercontent.com/p/AF1QipORYliDJZ37MKI4cpRADQUiJn2dlcImQwizbYIw=w426-h240-k-no
31,5,Gunpo Restaurant,"6 Gunpo-ro 556beon-gil, Dang-dong, Gunpo-si, Gyeonggi-do",0314520025,4.3,37.3554683,126.9472569,"['Sunday, Closed', 'Monday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM', 'Tuesday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM', 'Wednesday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM', 'Thursday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM', 'Friday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM', 'Saturday, 8:30\u202fAM to 3\u202fPM, 4 to 8:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPPf5YnEwmMc5oihekPzlYI4GcwIEhafbqW29vb=w426-h240-k-no
31,6,"Hill House floor Gapyeong pine nuts, tofu","248 Sumogwon-ro, Sang-myeon, Gapyeong-gun, Gyeonggi-do",0315845368,3.5,37.7567185,127.360442,"['Sunday, 9:30\u202fAM to 8\u202fPM', 'Monday, 9:30\u202fAM to 8\u202fPM', 'Tuesday, 9:30\u202fAM to 8\u202fPM', 'Wednesday, 9:30\u202fAM to 8\u202fPM', 'Thursday, 9:30\u202fAM to 8\u202fPM', 'Friday, 9:30\u202fAM to 8\u202fPM', 'Saturday, 9:30\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipN8s1gd72NNfzKmb-5zOHyUOWnSaMAF7HxlzPEH=w408-h306-k-no
31,7,미가훠궈양고기,"15 Pungdeokcheon-ro 140beon-gil, 풍덕천1동 Suji-gu, Yongin-si, Gyeonggi-do",0312728845,4.4,37.3225332,127.0985153,"['Sunday, 11:30\u202fAM to 11:30\u202fPM', 'Monday, 12 to 1\u202fAM, 11:30\u202fAM to 1\u202fAM', 'Tuesday, 11:30\u202fAM to 1\u202fAM', 'Wednesday, 11:30\u202fAM to 1\u202fAM', 'Thursday, 11:30\u202fAM to 1\u202fAM', 'Friday, 11:30\u202fAM to 1\u202fAM', 'Saturday, 11:30\u202fAM to 12\u202fAM.']",https://lh5.googleusercontent.com/p/AF1QipPOmvSwDDRgJQv8sxPTXQ3OR9hJqGqenEqQt2sA=w408-h306-k-no
31,8,욕쟁이할머니집,"231-2 Gomo-ri, Soheul-eup, Pocheon-si, Gyeonggi-do",0315423667,3.7,37.796242,127.1661988,"['Sunday, 11\u202fAM to 8\u202fPM', 'Monday, 11\u202fAM to 8\u202fPM', 'Tuesday, 11\u202fAM to 8\u202fPM', 'Wednesday, 11\u202fAM to 8\u202fPM', 'Thursday, Closed', 'Friday, 11\u202fAM to 8\u202fPM', 'Saturday, 11\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM78f9TfMHRHDh28xm7VuJV20YVjKKF1VUDIZsK=w513-h240-k-no
31,9,Squirrel Town mukjip,"48 Aenigol-gil 43beon-gil, Ilsandong-gu, Goyang-si, Gyeonggi-do",0319073601,4.2,37.6732614,126.7892248,"['Sunday, 11\u202fAM to 9\u202fPM', 'Monday, 11\u202fAM to 9\u202fPM', 'Tuesday, 11\u202fAM to 9\u202fPM', 'Wednesday, 11\u202fAM to 9\u202fPM', 'Thursday, 11\u202fAM to 9\u202fPM', 'Friday, 11\u202fAM to 9\u202fPM', 'Saturday, 11\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMeITH34yxzE9ij134QdFwEM6Fq_nwOOaCvf4m0=w493-h240-k-no
31,10,Saddo Garden,"Gyeonggi-do, Yongin-si, Giheung-gu, Giheungdanji-ro, 89 사또가든",0312855916,3.9,37.2262785,127.1075991,"['Sunday, 9:30\u202fAM to 9:30\u202fPM', 'Monday, 9:30\u202fAM to 9:30\u202fPM', 'Tuesday, 9:30\u202fAM to 9:30\u202fPM', 'Wednesday, 9:30\u202fAM to 9:30\u202fPM', 'Thursday, 9:30\u202fAM to 9:30\u202fPM', 'Friday, 9:30\u202fAM to 9:30\u202fPM', 'Saturday, 9:30\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMZpQmiGy-Gli2QVLtEAdqPmU_UGV4qF0bv4TvT=w408-h306-k-no
