areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
2,1,부영선지국,Incheon,0328845981,3.9,37.4585144,126.6472826,"['Sunday, Closed', 'Monday, 9:30\u202fAM to 7\u202fPM', 'Tuesday, 9:30\u202fAM to 7\u202fPM', 'Wednesday, 9:30\u202fAM to 7\u202fPM', 'Thursday, 9:30\u202fAM to 7\u202fPM', 'Friday, 9:30\u202fAM to 7\u202fPM', 'Saturday, 9:30\u202fAM to 8:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM2PZFOQ3sAjlwIe3cVmyhtn4T1sTRVrJy4ELGb=w408-h306-k-no
2,2,La Vista,"806-21 Dongchun-dong, Yeonsu-gu, Incheon",0328333223,4.0,37.416416,126.6589158,"['Sunday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM', 'Monday, Closed', 'Tuesday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM', 'Wednesday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM', 'Thursday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM', 'Friday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM', 'Saturday, 11:30\u202fAM to 4\u202fPM, 4:30 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMbpRcNUSfRuQrAlT4WsIruu-oYTaeACVEVCVAS=w408-h306-k-no
2,3,복화루,"16 Bupyeong-daero 32beon-gil, Bupyeong District, Incheon",0325039725,4.0,37.4943137,126.7240295,"['Sunday, Closed', 'Monday, 11:30\u202fAM to 8\u202fPM', 'Tuesday, 11:30\u202fAM to 8\u202fPM', 'Wednesday, 11:30\u202fAM to 8\u202fPM', 'Thursday, 11:30\u202fAM to 8\u202fPM', 'Friday, 11:30\u202fAM to 8\u202fPM', 'Saturday, 11:30\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMZmkqA40vdLrMUlqqSjhKMDUVzTfUf9cRQlFIS=w408-h306-k-no
2,4,Haesong Ssambap,"177 Gonghangseo-ro, Nambuk-dong, Jung-gu, Incheon",0327470073,4.0,37.4427112,126.4304335,"['Sunday, 10:30\u202fAM to 9\u202fPM', 'Monday, Closed', 'Tuesday, 10:30\u202fAM to 9\u202fPM', 'Wednesday, 10:30\u202fAM to 9\u202fPM', 'Thursday, 10:30\u202fAM to 9\u202fPM', 'Friday, 10:30\u202fAM to 9\u202fPM', 'Saturday, 10:30\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNF3_evCYHz8EsOIbeX--91dxWdZ6flf_zm1MyT=w408-h306-k-no
2,5,연백호,"56 Haeannam-ro 2903beon-gil, Hwado-myeon, Ganghwa-gun, Incheon",0329371810,4.1,37.6403845,126.3920956,"['Sunday, 10\u202fAM to 9\u202fPM', 'Monday, 10\u202fAM to 9\u202fPM', 'Tuesday, 10\u202fAM to 9\u202fPM', 'Wednesday, 10\u202fAM to 9\u202fPM', 'Thursday, Closed', 'Friday, 10\u202fAM to 9\u202fPM', 'Saturday, 10\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOmTeGMqAEF7h9WaF0liMt_Rx4_Q3MO7afMkXw=w426-h240-k-no
2,6,경인면옥,"154 Nae-dong, Jung-gu, Incheon",0327625770,4.1,37.4724924,126.6281867,"['Sunday, 11\u202fAM to 8\u202fPM', 'Monday, 11\u202fAM to 8\u202fPM', 'Tuesday, Closed', 'Wednesday, 11\u202fAM to 8\u202fPM', 'Thursday, 11\u202fAM to 8\u202fPM', 'Friday, 11\u202fAM to 8\u202fPM', 'Saturday, 11\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipN_nBYk8bgs9wzLcGJTv3PdDFOYRuqulkP6J9pM=w408-h430-k-no
2,7,"그래,잇","Incheon, Bupyeong District, Bupyeongmunhwa-ro 65beon-gil, 19 1층",No Phone Number,4.5,37.494922,126.723371,"['Sunday, 11\u202fAM to 9:30\u202fPM', 'Monday, 11\u202fAM to 9:30\u202fPM', 'Tuesday, 11\u202fAM to 9:30\u202fPM', 'Wednesday, 11\u202fAM to 9:30\u202fPM', 'Thursday, 11\u202fAM to 9:30\u202fPM', 'Friday, 11\u202fAM to 9:30\u202fPM', 'Saturday, 11\u202fAM to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOJpZEVRt9JCyx5YCC7yPAqcVa29YDil1Q-f8Bk=w408-h544-k-no
2,8,Bihanee,"Incheon, Bupyeong District, 부평1동 Gwangjang-ro 24beon-gil, 13 신성빌딩 1층",0325258771,4.3,37.4901985,126.7252213,"['Sunday, 11\u202fAM to 10\u202fPM', 'Monday, 11\u202fAM to 10\u202fPM', 'Tuesday, 11\u202fAM to 10\u202fPM', 'Wednesday, 11\u202fAM to 10\u202fPM', 'Thursday, 11\u202fAM to 10\u202fPM', 'Friday, 11\u202fAM to 10\u202fPM', 'Saturday, 11\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM9N73rNaryXiPynuI97vh9Eaaxa94Rhrmsv3aU=w408-h306-k-no
2,9,청해김밥,"414 Gyeongin-ro, Michuhol-gu, Incheon",0324297212,4.0,37.4578529,126.6859835,"['Sunday, Open 24 hours', 'Monday, Open 24 hours', 'Tuesday, Open 24 hours', 'Wednesday, Open 24 hours', 'Thursday, Open 24 hours', 'Friday, Open 24 hours', 'Saturday, Open 24 hours.']",https://lh5.googleusercontent.com/p/AF1QipO2XfvcKm-u5t9McFSc7P8-iZm0_QC4wNXXYTyz=w408-h306-k-no
2,10,Pyungane Doenjang,"11 Ganeungpo-ro 89beon-gil, Hwado-myeon, Ganghwa-gun, Incheon",0329376479,3.6,37.6409331,126.4197167,"['Sunday, 10\u202fAM to 9\u202fPM', 'Monday, 10\u202fAM to 9\u202fPM', 'Tuesday, 10\u202fAM to 9\u202fPM', 'Wednesday, Closed', 'Thursday, 10\u202fAM to 9\u202fPM', 'Friday, 10\u202fAM to 9\u202fPM', 'Saturday, 10\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOc9_ApfA_zfE1dOPB_SYEYyalgMzqt3OPP0P1Z=w408-h306-k-no
