areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
1,1,Doughroom by Soigné,"Seoul, Seocho District, Donggwang-ro, 99 2층",025359386,4.2,37.4938516,126.9933416,"['Saturday, 11:30\u202fAM to 3\u202fPM, 6 to 10\u202fPM', 'Sunday, 11:30\u202fAM to 3\u202fPM, 6 to 10\u202fPM', 'Monday, Closed', 'Tuesday, Closed', 'Wednesday, 11:30\u202fAM to 3\u202fPM, 6 to 10\u202fPM', 'Thursday, 11:30\u202fAM to 3\u202fPM, 6 to 10\u202fPM', 'Friday, 11:30\u202fAM to 3\u202fPM, 6 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOnRyMbbvJRr2QdDbMyw2Vfn_JY1dOwMNOmnAHo=w408-h306-k-no
1,2,GunSan Squid,"Seoul, Songpa District, Samhaksa-ro, 101 군산오징어",024132046,3.9,37.5062747,127.0970019,"['Saturday, 11:30\u202fAM to 11:30\u202fPM', 'Sunday, 11:30\u202fAM to 11:30\u202fPM', 'Monday, 11:30\u202fAM to 11:30\u202fPM', 'Tuesday, 11:30\u202fAM to 11:30\u202fPM', 'Wednesday, 11:30\u202fAM to 11:30\u202fPM', 'Thursday, 11:30\u202fAM to 11:30\u202fPM', 'Friday, 11:30\u202fAM to 11:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPNAvjK8hpvN2zlVuXwOhzzqxKOAv3Q5t35mrFU=w408-h272-k-no
1,3,KwonSookSoo,"37 Apgujeong-ro 80-gil, Gangnam District, Seoul",025426268,4.5,37.5243775,127.0435589,"['Saturday, 12 to 3\u202fPM, 6 to 10\u202fPM', 'Sunday, Closed', 'Monday, Closed', 'Tuesday, 12 to 3\u202fPM, 6 to 10\u202fPM', 'Wednesday, 12 to 3\u202fPM, 6 to 10\u202fPM', 'Thursday, 12 to 3\u202fPM, 6 to 10\u202fPM', 'Friday, 12 to 3\u202fPM, 6 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNdf87vInsBRQnP1Wc5Cyr-Fl-SyjUfvK97DHpQ=w408-h544-k-no
1,4,Vangundy Steak,"5 Sapyeong-daero 22-gil, 반포4동 Seocho District, Seoul",025956062,4.5,37.4993065,126.9977397,"['Saturday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Sunday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Monday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Tuesday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Wednesday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Thursday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM', 'Friday, 11:30\u202fAM to 3\u202fPM, 5:30 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPX2Rf9YCAGQrP16ycHXZSTEasFj8hJ8-dy0fo5=w408-h408-k-no
1,5,Wolfgang’s Steakhouse,"21 Seolleung-ro 152-gil, Cheongdam-dong, Gangnam District, Seoul",025568700,4.3,37.5244653,127.0414525,"['Saturday, 11\u202fAM to 11\u202fPM', 'Sunday, 11\u202fAM to 11\u202fPM', 'Monday, 11\u202fAM to 11\u202fPM', 'Tuesday, 11\u202fAM to 11\u202fPM', 'Wednesday, 11\u202fAM to 11\u202fPM', 'Thursday, 11\u202fAM to 11\u202fPM', 'Friday, 11\u202fAM to 11\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPaFU3RqUAm_ZHVJZtw2cHHc129mO1Ew9hR0hz3=w408-h311-k-no
1,6,삼성원조양곱창,"133-6 Cheongdam-dong, Gangnam District, Seoul",025458895,3.9,37.5208751,127.057713,"['Saturday, 5 to 11\u202fPM', 'Sunday, Closed', 'Monday, 5 to 11\u202fPM', 'Tuesday, 5 to 11\u202fPM', 'Wednesday, 5 to 11\u202fPM', 'Thursday, 5 to 11\u202fPM', 'Friday, 5 to 11\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNKWGmn2MrZFIsWGljTLlcZnlGVsAuRiyeBREWL=w408-h544-k-no
1,7,Hanguk Sundae,"5-22 Yangjae-dong, Seocho District, Seoul",025733550,4.0,37.478725,127.0397536,"['Saturday, Open 24 hours', 'Sunday, Open 24 hours', 'Monday, Open 24 hours', 'Tuesday, Open 24 hours', 'Wednesday, Open 24 hours', 'Thursday, Open 24 hours', 'Friday, Open 24 hours.']",https://lh5.googleusercontent.com/p/AF1QipP7sV97Ghr8NDnYAxI1bRRSwvEJZIKKQqnZ1Ne8=w426-h240-k-no
1,8,신림정,"248 Bongcheon-ro, Gwanak-gu, Seoul",028891220,4.1,37.4886111,126.928839,"['Saturday, 11\u202fAM to 10\u202fPM', 'Sunday, 11\u202fAM to 10\u202fPM', 'Monday, 11\u202fAM to 10\u202fPM', 'Tuesday, 11\u202fAM to 10\u202fPM', 'Wednesday, 11\u202fAM to 10\u202fPM', 'Thursday, 11\u202fAM to 10\u202fPM', 'Friday, 11\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMKRc_FVFOFtNv71NnmU_bUmcfB6ixoXtfQlh2E=w408-h544-k-no
1,9,Suhadong Main Branch,"16 Teheran-ro 78-gil, Gangnam District, Seoul",025650003,3.9,37.505202,127.0553917,"['Saturday, 7\u202fAM to 4:30\u202fPM', 'Sunday, 7\u202fAM to 4:30\u202fPM', 'Monday, Closed', 'Tuesday, 7\u202fAM to 4:30\u202fPM', 'Wednesday, 7\u202fAM to 4:30\u202fPM', 'Thursday, 7\u202fAM to 4:30\u202fPM', 'Friday, 7\u202fAM to 4:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOgJlRfnBnRsmeatayuF2NUTZJFv55Cr9KmnwII=w408-h306-k-no
1,10,Wolraesun Gyojagwan,"13 Digital-ro 19-gil, Guro District, Seoul",028558488,4.2,37.4802803,126.8898382,"['Saturday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM', 'Sunday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM', 'Monday, Closed', 'Tuesday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM', 'Wednesday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM', 'Thursday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM', 'Friday, 11\u202fAM to 3\u202fPM, 4 to 9:50\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM2HHeURSQWL5W0ODrgRThGV6w3Us_1-khzENv0=w408-h306-k-no
