areatype,index,name,address,phone_number,average_rating,latitude,longitude,business_hours,image_url
7,1,떡바우 횟집,"13 Sinamhaean-gil, Seosaeng-myeon, Ulju-gun, Ulsan",0522383136,4.1,35.3467935,129.3225974,"['Sunday, 11\u202fAM to 8\u202fPM', 'Monday, 11\u202fAM to 8\u202fPM', 'Tuesday, 11\u202fAM to 8\u202fPM', 'Wednesday, 11\u202fAM to 8\u202fPM', 'Thursday, 11\u202fAM to 8\u202fPM', 'Friday, 11\u202fAM to 8\u202fPM', 'Saturday, 11\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNchappmkSJzjpEbH6-SdhNU3bU_f5XGDe4I1ba=w408-h306-k-no
7,2,나마스까르,Ulsan,0522613362,4.2,35.5382392,129.3370515,"['Sunday, 11\u202fAM to 10\u202fPM', 'Monday, 11\u202fAM to 10\u202fPM', 'Tuesday, 11\u202fAM to 10\u202fPM', 'Wednesday, 11\u202fAM to 10\u202fPM', 'Thursday, 11\u202fAM to 10\u202fPM', 'Friday, 11\u202fAM to 10\u202fPM', 'Saturday, 11\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOh28hr0Tbl8y3_iFcJPST2rpy1Oh3xyGIlSRvM=w408-h306-k-no
7,3,동남횟집,"75 Bomit-gil, Jujeon-dong, Dong-gu, Ulsan",0522516360,3.9,35.5483718,129.4549342,"['Sunday, 11\u202fAM to 8\u202fPM', 'Monday, Closed', 'Tuesday, 11\u202fAM to 8\u202fPM', 'Wednesday, 11\u202fAM to 8\u202fPM', 'Thursday, 11\u202fAM to 8\u202fPM', 'Friday, 11\u202fAM to 8\u202fPM', 'Saturday, 11\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOD_HMz_XEvd0brQ74Zob1UTEfS0GVxhYq9IECJ=w408-h306-k-no
7,4,웅촌식육식당,Ulsan,0522250149,4.3,35.4662176,129.2097877,"['Sunday, 8\u202fAM to 6\u202fPM', 'Monday, 8\u202fAM to 6\u202fPM', 'Tuesday, 8\u202fAM to 6\u202fPM', 'Wednesday, 8\u202fAM to 6\u202fPM', 'Thursday, 8\u202fAM to 6\u202fPM', 'Friday, 8\u202fAM to 6\u202fPM', 'Saturday, 8\u202fAM to 6\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipO07fmsE4s3dSTvTL_-TH7qaWfh82FZoMAEjenX=w408-h544-k-no
7,5,이너리트,"9 Sunambeotkkot-gil, Samnam-myeon, Ulju-gun, Ulsan",0522547677,4.4,35.5500835,129.1154574,"['Sunday, 8:30\u202fAM to 9\u202fPM', 'Monday, 8:30\u202fAM to 9\u202fPM', 'Tuesday, 8:30\u202fAM to 9\u202fPM', 'Wednesday, 8:30\u202fAM to 9\u202fPM', 'Thursday, 8:30\u202fAM to 9\u202fPM', 'Friday, 8:30\u202fAM to 10\u202fPM', 'Saturday, 8:30\u202fAM to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipP0AgwtIeFu2cTDFlsoskGAtLlEibzjnPjLlWE1=w408-h306-k-no
7,6,도동산방,"50-16 Sanjeon-ri, Sangbuk-myeon, Ulju-gun, Ulsan",0522547076,4.1,35.6040236,129.0965407,"['Sunday, 12 to 9:30\u202fPM', 'Monday, Closed', 'Tuesday, 12 to 9:30\u202fPM', 'Wednesday, 12 to 9:30\u202fPM', 'Thursday, 12 to 9:30\u202fPM', 'Friday, 12 to 9:30\u202fPM', 'Saturday, 12 to 9:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipOz3gCEmeIzcuz9eOBah-1MjyxmdEUFx-DjLJi9=w533-h240-k-no
7,7,고래명가,"87-12 Jangsaengpo-dong, Nam-gu, Ulsan",0522692361,3.9,35.502434,129.3769205,"['Sunday, 10\u202fAM to 8:30\u202fPM', 'Monday, 10\u202fAM to 8:30\u202fPM', 'Tuesday, 10\u202fAM to 8:30\u202fPM', 'Wednesday, 10\u202fAM to 8:30\u202fPM', 'Thursday, 10\u202fAM to 8:30\u202fPM', 'Friday, 10\u202fAM to 8:30\u202fPM', 'Saturday, 10\u202fAM to 8:30\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPX-7uKgwe70wIwaDtCcZHu_HcMI5RPuEjMe9Lj=w408-h306-k-no
7,8,언양기와집불고기,"86 Heonnyang-gil, Eonyang-eup, Ulju-gun, Ulsan",0522624884,4.0,35.565301,129.122482,"['Sunday, 11\u202fAM to 9\u202fPM', 'Monday, 11\u202fAM to 9\u202fPM', 'Tuesday, 11\u202fAM to 9\u202fPM', 'Wednesday, 11\u202fAM to 9\u202fPM', 'Thursday, 11\u202fAM to 9\u202fPM', 'Friday, 11\u202fAM to 9\u202fPM', 'Saturday, 11\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipNETeOarla15D7fg1CRkBzXaBWwQtsOu4PVW-w0=w426-h240-k-no
7,9,함흥통닭,"579 양정동 Buk-gu, Ulsan",0522872630,3.8,35.5437898,129.3856773,"['Sunday, Closed', 'Monday, 3 to 10\u202fPM', 'Tuesday, 3 to 10\u202fPM', 'Wednesday, 3 to 10\u202fPM', 'Thursday, 3 to 10\u202fPM', 'Friday, 3 to 10\u202fPM', 'Saturday, 2 to 10\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipM8_CptE-jcC5nANJyGzoLDZshbIgimAP3B6DFM=w506-h240-k-no
7,10,미락식당,Ulsan,0522457984,3.4,35.5554313,129.3189972,"['Saturday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Sunday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Monday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Tuesday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Wednesday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Thursday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM', 'Friday, 12\u202fAM to 12\u202fPM, 3:16\u202fPM to 12\u202fAM.']",https://lh5.googleusercontent.com/p/AF1QipMJHz40hS8Ap_6bqS_Fr0MveGHj5nG3kdGeBc9S=w408-h306-k-no
7,11,OK목장,"360-3 Banggi-ri, Samnam-myeon, Ulju-gun, Ulsan",0553830939,4.2,35.500989,129.088298,"['Sunday, 10:30\u202fAM to 9\u202fPM', 'Monday, 10:30\u202fAM to 9\u202fPM', 'Tuesday, 10:30\u202fAM to 9\u202fPM', 'Wednesday, 10:30\u202fAM to 9\u202fPM', 'Thursday, 10:30\u202fAM to 9\u202fPM', 'Friday, 10:30\u202fAM to 9\u202fPM', 'Saturday, 10:30\u202fAM to 9\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipPEbSdp1QSeKgYYJv_3Roer_FdYJbikI0kCXPiA=w408-h306-k-no
7,12,신정시장 경주손칼국수,"7 Wolpyeong-ro 47beon-gil, Nam-gu, Ulsan",0522713278,4.2,35.5418238,129.3096748,"['Sunday, 10\u202fAM to 8\u202fPM', 'Monday, 10\u202fAM to 8\u202fPM', 'Tuesday, 10\u202fAM to 8\u202fPM', 'Wednesday, 10\u202fAM to 8\u202fPM', 'Thursday, 10\u202fAM to 8\u202fPM', 'Friday, 10\u202fAM to 8\u202fPM', 'Saturday, 10\u202fAM to 8\u202fPM.']",https://lh5.googleusercontent.com/p/AF1QipMu8WVrPWE017UYB0U0OwxGV408eYG2pQIeH_Ek=w493-h240-k-no
